date,to_curr,provider,rate,markup
2026-01-01,EUR,MASTERCARD,0.0006127,
2026-01-01,EUR,VISA,0.0006126958,0
2026-01-01,GBP,MASTERCARD,0.0005359,
2026-01-01,GBP,VISA,0.0005358745,0
2026-01-01,INR,MASTERCARD,0.0645894,
2026-01-01,INR,VISA,0.0646367147,0
2026-01-01,USD,MASTERCARD,0.000718,
2026-01-01,USD,VISA,0.0007180189,0
2026-01-02,EUR,MASTERCARD,0.0006131,
2026-01-02,EUR,VISA,0.0006126958,0
2026-01-02,GBP,MASTERCARD,0.0005346,
2026-01-02,GBP,VISA,0.0005358745,0
2026-01-02,INR,MASTERCARD,0.0647769,
2026-01-02,INR,VISA,0.0646367147,0
2026-01-02,USD,MASTERCARD,0.000718,
2026-01-02,USD,VISA,0.0007180189,0
2026-01-03,EUR,MASTERCARD,0.0006131,
2026-01-03,EUR,VISA,0.0006044051,0
2026-01-03,GBP,MASTERCARD,0.0005346,
2026-01-03,GBP,VISA,0.0005270488,0
2026-01-03,INR,MASTERCARD,0.0647769,
2026-01-03,INR,VISA,0.0638931765,0
2026-01-03,USD,MASTERCARD,0.000718,
2026-01-03,USD,VISA,0.0007078799,0
2026-01-04,EUR,MASTERCARD,0.0006131,
2026-01-04,EUR,VISA,0.0006044051,0
2026-01-04,GBP,MASTERCARD,0.0005346,
2026-01-04,GBP,VISA,0.0005270488,0
2026-01-04,INR,MASTERCARD,0.0647769,
2026-01-04,INR,VISA,0.0638931765,0
2026-01-04,USD,MASTERCARD,0.000718,
2026-01-04,USD,VISA,0.0007078799,0
2026-01-05,EUR,MASTERCARD,0.0006072,
2026-01-05,EUR,VISA,0.0006044051,0
2026-01-05,GBP,MASTERCARD,0.0005278,
2026-01-05,GBP,VISA,0.0005270488,0
2026-01-05,INR,MASTERCARD,0.06396,
2026-01-05,INR,VISA,0.0638931765,0
2026-01-05,USD,MASTERCARD,0.0007079,
2026-01-05,USD,VISA,0.0007078799,0
2026-01-06,EUR,MASTERCARD,0.0006072,
2026-01-06,EUR,VISA,0.0006103196,0
2026-01-06,GBP,MASTERCARD,0.0005278,
2026-01-06,GBP,VISA,0.0005305426,0
2026-01-06,INR,MASTERCARD,0.06396,
2026-01-06,INR,VISA,0.0642629274,0
2026-01-06,USD,MASTERCARD,0.0007079,
2026-01-06,USD,VISA,0.0007115113,0
2026-01-07,EUR,MASTERCARD,0.000609,
2026-01-07,EUR,VISA,0.0006123927,0
2026-01-07,GBP,MASTERCARD,0.0005275,
2026-01-07,GBP,VISA,0.0005304013,0
2026-01-07,INR,MASTERCARD,0.0641982,
2026-01-07,INR,VISA,0.0645872872,0
2026-01-07,USD,MASTERCARD,0.0007115,
2026-01-07,USD,VISA,0.0007154591,0
2026-01-08,EUR,MASTERCARD,0.0006132,
2026-01-08,EUR,VISA,0.0006121989,0
2026-01-08,GBP,MASTERCARD,0.0005327,
2026-01-08,GBP,VISA,0.0005311063,0
2026-01-08,INR,MASTERCARD,0.0643262,
2026-01-08,INR,VISA,0.0644762371,0
2026-01-08,USD,MASTERCARD,0.0007145,
2026-01-08,USD,VISA,0.000714498,0
2026-01-09,EUR,MASTERCARD,0.0006159,
2026-01-09,EUR,VISA,0.0006146004,0
2026-01-09,GBP,MASTERCARD,0.0005344,
2026-01-09,GBP,VISA,0.0005334907,0
2026-01-09,INR,MASTERCARD,0.0646256,
2026-01-09,INR,VISA,0.0644976272,0
2026-01-09,USD,MASTERCARD,0.0007155,
2026-01-09,USD,VISA,0.0007155185,0
2026-01-10,EUR,MASTERCARD,0.0006159,
2026-01-10,EUR,VISA,0.000618082,0
2026-01-10,GBP,MASTERCARD,0.0005344,
2026-01-10,GBP,VISA,0.0005362805,0
2026-01-10,INR,MASTERCARD,0.0646256,
2026-01-10,INR,VISA,0.0648599989,0
2026-01-10,USD,MASTERCARD,0.0007155,
2026-01-10,USD,VISA,0.0007180266,0
