date,to_curr,provider,rate,markup
2024-01-02,EUR,ECB,0.6193,
2024-01-03,EUR,ECB,0.6159,
2024-01-04,EUR,ECB,0.6143,
2024-01-05,EUR,ECB,0.6121,
2024-01-08,EUR,ECB,0.6106,
2024-01-09,EUR,ECB,0.612,
2024-01-10,EUR,ECB,0.6122,
2024-01-11,EUR,ECB,0.6109,
2024-01-12,EUR,ECB,0.6107,
2024-01-15,EUR,ECB,0.6079,
2024-01-16,EUR,ECB,0.6066,
2024-01-17,EUR,ECB,0.6027,
2024-01-18,EUR,ECB,0.6032,
2024-01-19,EUR,ECB,0.6061,
2024-01-22,EUR,ECB,0.6053,
2024-01-23,EUR,ECB,0.6063,
2024-01-24,EUR,ECB,0.6053,
2024-01-25,EUR,ECB,0.6047,
2024-01-26,EUR,ECB,0.6067,
2024-01-29,EUR,ECB,0.6098,
2024-01-30,EUR,ECB,0.6075,
2024-01-31,EUR,ECB,0.6072,
2024-02-01,EUR,ECB,0.6026,
2024-02-02,EUR,ECB,0.6072,
2024-02-05,EUR,ECB,0.6038,
2024-02-06,EUR,ECB,0.6055,
2024-02-07,EUR,ECB,0.6059,
2024-02-08,EUR,ECB,0.6035,
2024-02-09,EUR,ECB,0.6045,
2024-02-12,EUR,ECB,0.6059,
2024-02-13,EUR,ECB,0.6051,
2024-02-14,EUR,ECB,0.6053,
2024-02-15,EUR,ECB,0.6051,
2024-02-16,EUR,ECB,0.6054,
2024-02-19,EUR,ECB,0.6068,
2024-02-20,EUR,ECB,0.6076,
2024-02-21,EUR,ECB,0.6066,
2024-02-22,EUR,ECB,0.6055,
2024-02-23,EUR,ECB,0.6073,
2024-02-26,EUR,ECB,0.6039,
2024-02-27,EUR,ECB,0.6037,
2024-02-28,EUR,ECB,0.601,
2024-02-29,EUR,ECB,0.5994,
2024-03-01,EUR,ECB,0.6011,
2024-03-04,EUR,ECB,0.601,
2024-03-05,EUR,ECB,0.5985,
2024-03-06,EUR,ECB,0.6,
2024-03-07,EUR,ECB,0.606,
2024-03-08,EUR,ECB,0.6072,
2024-03-11,EUR,ECB,0.6044,
2024-03-12,EUR,ECB,0.6049,
2024-03-13,EUR,ECB,0.6045,
2024-03-14,EUR,ECB,0.605,
2024-03-15,EUR,ECB,0.6032,
2024-03-18,EUR,ECB,0.603,
2024-03-19,EUR,ECB,0.6006,
2024-03-20,EUR,ECB,0.6012,
2024-03-21,EUR,ECB,0.6048,
2024-03-22,EUR,ECB,0.6024,
2024-03-25,EUR,ECB,0.6031,
2024-03-26,EUR,ECB,0.6034,
2024-03-27,EUR,ECB,0.6024,
2024-03-28,EUR,ECB,0.6022,
2024-04-02,EUR,ECB,0.6053,
2024-04-03,EUR,ECB,0.6046,
2024-04-04,EUR,ECB,0.6081,
2024-04-05,EUR,ECB,0.6075,
2024-04-08,EUR,ECB,0.6085,
2024-04-09,EUR,ECB,0.6095,
2024-04-10,EUR,ECB,0.6098,
2024-04-11,EUR,ECB,0.608,
2024-04-12,EUR,ECB,0.6093,
2024-04-15,EUR,ECB,0.6082,
2024-04-16,EUR,ECB,0.6032,
2024-04-17,EUR,ECB,0.604,
2024-04-18,EUR,ECB,0.6036,
2024-04-19,EUR,ECB,0.6016,
2024-04-22,EUR,ECB,0.6054,
2024-04-23,EUR,ECB,0.6047,
2024-04-24,EUR,ECB,0.609,
2024-04-25,EUR,ECB,0.6092,
2024-04-26,EUR,ECB,0.6101,
2024-04-29,EUR,ECB,0.6127,
2024-04-30,EUR,ECB,0.6089,
2024-05-02,EUR,ECB,0.6103,
2024-05-03,EUR,ECB,0.6124,
2024-05-06,EUR,ECB,0.6155,
2024-05-07,EUR,ECB,0.6136,
2024-05-08,EUR,ECB,0.6107,
2024-05-09,EUR,ECB,0.6135,
2024-05-10,EUR,ECB,0.6127,
2024-05-13,EUR,ECB,0.6133,
2024-05-14,EUR,ECB,0.6124,
2024-05-15,EUR,ECB,0.6132,
2024-05-16,EUR,ECB,0.6139,
2024-05-17,EUR,ECB,0.6142,
2024-05-20,EUR,ECB,0.615,
2024-05-21,EUR,ECB,0.6143,
2024-05-22,EUR,ECB,0.6139,
2024-05-23,EUR,ECB,0.6123,
2024-05-24,EUR,ECB,0.61,
2024-05-27,EUR,ECB,0.6127,
2024-05-28,EUR,ECB,0.613,
2024-05-29,EUR,ECB,0.6109,
2024-05-30,EUR,ECB,0.612,
2024-05-31,EUR,ECB,0.6129,
