date,to_curr,provider,rate,markup
2026-01-01,EUR,MASTERCARD,0.0069775,
2026-01-01,EUR,VISA,0.0069789341,0
2026-01-01,GBP,MASTERCARD,0.0061027,
2026-01-01,GBP,VISA,0.006103898,0
2026-01-01,INR,MASTERCARD,0.7355575,
2026-01-01,INR,VISA,0.7362469124,0
2026-01-01,USD,MASTERCARD,0.0081769,
2026-01-01,USD,VISA,0.0081786211,0
2026-01-02,EUR,MASTERCARD,0.0069817,
2026-01-02,EUR,VISA,0.0069789341,0
2026-01-02,GBP,MASTERCARD,0.0060881,
2026-01-02,GBP,VISA,0.006103898,0
2026-01-02,INR,MASTERCARD,0.7376927,
2026-01-02,INR,VISA,0.7362469124,0
2026-01-02,USD,MASTERCARD,0.0081769,
2026-01-02,USD,VISA,0.0081786211,0
2026-01-03,EUR,MASTERCARD,0.0069817,
2026-01-03,EUR,VISA,0.0069831053,0
2026-01-03,GBP,MASTERCARD,0.0060881,
2026-01-03,GBP,VISA,0.0060893552,0
2026-01-03,INR,MASTERCARD,0.7376927,
2026-01-03,INR,VISA,0.7382016009,0
2026-01-03,USD,MASTERCARD,0.0081769,
2026-01-03,USD,VISA,0.0081786211,0
2026-01-04,EUR,MASTERCARD,0.0069817,
2026-01-04,EUR,VISA,0.0069831053,0
2026-01-04,GBP,MASTERCARD,0.0060881,
2026-01-04,GBP,VISA,0.0060893552,0
2026-01-04,INR,MASTERCARD,0.7376927,
2026-01-04,INR,VISA,0.7382016009,0
2026-01-04,USD,MASTERCARD,0.0081769,
2026-01-04,USD,VISA,0.0081786211,0
2026-01-05,EUR,MASTERCARD,0.0070268,
2026-01-05,EUR,VISA,0.0069831053,0
2026-01-05,GBP,MASTERCARD,0.0061083,
2026-01-05,GBP,VISA,0.0060893552,0
2026-01-05,INR,MASTERCARD,0.7401716,
2026-01-05,INR,VISA,0.7382016009,0
2026-01-05,USD,MASTERCARD,0.0081919,
2026-01-05,USD,VISA,0.0081786211,0
2026-01-06,EUR,MASTERCARD,0.0070268,
2026-01-06,EUR,VISA,0.0070171728,0
2026-01-06,GBP,MASTERCARD,0.0061083,
2026-01-06,GBP,VISA,0.006099933,0
2026-01-06,INR,MASTERCARD,0.7401716,
2026-01-06,INR,VISA,0.738865426,0
2026-01-06,USD,MASTERCARD,0.0081919,
2026-01-06,USD,VISA,0.0081806283,0
2026-01-07,EUR,MASTERCARD,0.0070164,
2026-01-07,EUR,VISA,0.0070332266,0
2026-01-07,GBP,MASTERCARD,0.006077,
2026-01-07,GBP,VISA,0.0060915699,0
2026-01-07,INR,MASTERCARD,0.7396207,
2026-01-07,INR,VISA,0.7417741145,0
