date,to_curr,provider,rate,markup
2019-01-02,EUR,ECB,0.2276,
2019-01-03,EUR,ECB,0.2336,
2019-01-04,EUR,ECB,0.2332,
2019-01-07,EUR,ECB,0.2365,
2019-01-08,EUR,ECB,0.2347,
2019-01-09,EUR,ECB,0.2367,
2019-01-10,EUR,ECB,0.2356,
2019-01-11,EUR,ECB,0.2334,
2019-01-14,EUR,ECB,0.234,
2019-01-15,EUR,ECB,0.236,
2019-01-16,EUR,ECB,0.2366,
2019-01-17,EUR,ECB,0.2332,
2019-01-18,EUR,ECB,0.2342,
2019-01-21,EUR,ECB,0.2334,
2019-01-22,EUR,ECB,0.2346,
2019-01-23,EUR,ECB,0.2312,
2019-01-24,EUR,ECB,0.2333,
2019-01-25,EUR,ECB,0.234,
2019-01-28,EUR,ECB,0.2333,
2019-01-29,EUR,ECB,0.234,
2019-01-30,EUR,ECB,0.2359,
2019-01-31,EUR,ECB,0.2379,
2019-02-01,EUR,ECB,0.2375,
2019-02-04,EUR,ECB,0.2373,
2019-02-05,EUR,ECB,0.2384,
2019-02-06,EUR,ECB,0.238,
2019-02-07,EUR,ECB,0.237,
2019-02-08,EUR,ECB,0.2376,
2019-02-11,EUR,ECB,0.2366,
2019-02-12,EUR,ECB,0.238,
2019-02-13,EUR,ECB,0.2372,
2019-02-14,EUR,ECB,0.2342,
2019-02-15,EUR,ECB,0.2389,
2019-02-18,EUR,ECB,0.2369,
2019-02-19,EUR,ECB,0.2379,
2019-02-20,EUR,ECB,0.238,
2019-02-21,EUR,ECB,0.2354,
2019-02-22,EUR,ECB,0.2359,
2019-02-25,EUR,ECB,0.2363,
2019-02-26,EUR,ECB,0.2349,
2019-02-27,EUR,ECB,0.2356,
2019-02-28,EUR,ECB,0.2343,
2019-03-01,EUR,ECB,0.2324,
2019-03-04,EUR,ECB,0.2337,
2019-03-05,EUR,ECB,0.2338,
2019-03-06,EUR,ECB,0.2343,
2019-03-07,EUR,ECB,0.2313,
2019-03-08,EUR,ECB,0.2293,
2019-03-11,EUR,ECB,0.2311,
2019-03-12,EUR,ECB,0.2323,
2019-03-13,EUR,ECB,0.2312,
2019-03-14,EUR,ECB,0.2308,
2019-03-15,EUR,ECB,0.2295,
2019-03-18,EUR,ECB,0.2308,
2019-03-19,EUR,ECB,0.2332,
2019-03-20,EUR,ECB,0.2325,
2019-03-21,EUR,ECB,0.233,
2019-03-22,EUR,ECB,0.2285,
2019-03-25,EUR,ECB,0.2271,
2019-03-26,EUR,ECB,0.2295,
2019-03-27,EUR,ECB,0.2263,
2019-03-28,EUR,ECB,0.2243,
2019-03-29,EUR,ECB,0.228,
2019-04-01,EUR,ECB,0.2295,
2019-04-02,EUR,ECB,0.2313,
2019-04-03,EUR,ECB,0.2319,
2019-04-04,EUR,ECB,0.2307,
2019-04-05,EUR,ECB,0.2311,
2019-04-08,EUR,ECB,0.2296,
2019-04-09,EUR,ECB,0.23,
2019-04-10,EUR,ECB,0.2309,
2019-04-11,EUR,ECB,0.2314,
2019-04-12,EUR,ECB,0.2279,
2019-04-15,EUR,ECB,0.2274,
2019-04-16,EUR,ECB,0.2277,
2019-04-17,EUR,ECB,0.227,
2019-04-18,EUR,ECB,0.2262,
2019-04-23,EUR,ECB,0.2262,
2019-04-24,EUR,ECB,0.2274,
2019-04-25,EUR,ECB,0.225,
2019-04-26,EUR,ECB,0.2266,
2019-04-29,EUR,ECB,0.2281,
2019-04-30,EUR,ECB,0.227,
2019-05-02,EUR,ECB,0.2268,
2019-05-03,EUR,ECB,0.2263,
2019-05-06,EUR,ECB,0.2249,
2019-05-07,EUR,ECB,0.2253,
2019-05-08,EUR,ECB,0.2258,
2019-05-09,EUR,ECB,0.2254,
2019-05-10,EUR,ECB,0.2252,
2019-05-13,EUR,ECB,0.2224,
2019-05-14,EUR,ECB,0.2235,
2019-05-15,EUR,ECB,0.2239,
2019-05-16,EUR,ECB,0.2233,
2019-05-17,EUR,ECB,0.2208,
2019-05-20,EUR,ECB,0.219,
2019-05-21,EUR,ECB,0.2189,
2019-05-22,EUR,ECB,0.2214,
2019-05-23,EUR,ECB,0.2213,
2019-05-24,EUR,ECB,0.221,
2019-05-27,EUR,ECB,0.2227,
2019-05-28,EUR,ECB,0.2207,
2019-05-29,EUR,ECB,0.2225,
2019-05-30,EUR,ECB,0.2256,
2019-05-31,EUR,ECB,0.2249,
2019-06-03,EUR,ECB,0.2281,
2019-06-04,EUR,ECB,0.2292,
2019-06-05,EUR,ECB,0.2303,
2019-06-06,EUR,ECB,0.229,
2019-06-07,EUR,ECB,0.2287,
2019-06-10,EUR,ECB,0.2279,
2019-06-11,EUR,ECB,0.2278,
2019-06-12,EUR,ECB,0.229,
2019-06-13,EUR,ECB,0.2303,
2019-06-14,EUR,ECB,0.2303,
2019-06-17,EUR,ECB,0.2283,
2019-06-18,EUR,ECB,0.2309,
2019-06-19,EUR,ECB,0.2308,
2019-06-20,EUR,ECB,0.2304,
2019-06-21,EUR,ECB,0.2306,
2019-06-24,EUR,ECB,0.2295,
2019-06-25,EUR,ECB,0.229,
2019-06-26,EUR,ECB,0.2292,
2019-06-27,EUR,ECB,0.228,
2019-06-28,EUR,ECB,0.2298,
2019-07-01,EUR,ECB,0.2302,
2019-07-02,EUR,ECB,0.2305,
2019-07-03,EUR,ECB,0.2291,
2019-07-04,EUR,ECB,0.232,
2019-07-05,EUR,ECB,0.2331,
