date,to_curr,provider,rate,markup
2009-01-02,EUR,ECB,0.5902,
2009-01-05,EUR,ECB,0.607,
2009-01-06,EUR,ECB,0.6309,
2009-01-07,EUR,ECB,0.6226,
2009-01-08,EUR,ECB,0.6118,
2009-01-09,EUR,ECB,0.6178,
2009-01-12,EUR,ECB,0.6242,
2009-01-13,EUR,ECB,0.6127,
2009-01-14,EUR,ECB,0.6194,
2009-01-15,EUR,ECB,0.6108,
2009-01-16,EUR,ECB,0.6085,
2009-01-19,EUR,ECB,0.6064,
2009-01-20,EUR,ECB,0.6111,
2009-01-21,EUR,ECB,0.6118,
2009-01-22,EUR,ECB,0.6101,
2009-01-23,EUR,ECB,0.6216,
2009-01-26,EUR,ECB,0.6304,
2009-01-27,EUR,ECB,0.6177,
2009-01-28,EUR,ECB,0.6188,
2009-01-29,EUR,ECB,0.6264,
2009-01-30,EUR,ECB,0.6291,
2009-02-02,EUR,ECB,0.6309,
2009-02-03,EUR,ECB,0.6227,
2009-02-04,EUR,ECB,0.6278,
2009-02-05,EUR,ECB,0.6326,
2009-02-06,EUR,ECB,0.625,
2009-02-09,EUR,ECB,0.6262,
2009-02-10,EUR,ECB,0.6303,
2009-02-11,EUR,ECB,0.6197,
2009-02-12,EUR,ECB,0.6252,
2009-02-13,EUR,ECB,0.6316,
2009-02-16,EUR,ECB,0.6285,
2009-02-17,EUR,ECB,0.6266,
2009-02-18,EUR,ECB,0.6296,
2009-02-19,EUR,ECB,0.6302,
2009-02-20,EUR,ECB,0.6285,
2009-02-23,EUR,ECB,0.625,
2009-02-24,EUR,ECB,0.6252,
2009-02-25,EUR,ECB,0.6271,
2009-02-26,EUR,ECB,0.6295,
2009-02-27,EUR,ECB,0.6256,
2009-03-02,EUR,ECB,0.6162,
2009-03-03,EUR,ECB,0.6166,
2009-03-04,EUR,ECB,0.619,
2009-03-05,EUR,ECB,0.6196,
2009-03-06,EUR,ECB,0.6151,
2009-03-09,EUR,ECB,0.6096,
2009-03-10,EUR,ECB,0.6117,
2009-03-11,EUR,ECB,0.6126,
2009-03-12,EUR,ECB,0.6075,
2009-03-13,EUR,ECB,0.6093,
2009-03-16,EUR,ECB,0.6048,
2009-03-17,EUR,ECB,0.6062,
2009-03-18,EUR,ECB,0.6038,
2009-03-19,EUR,ECB,0.5977,
2009-03-20,EUR,ECB,0.5963,
2009-03-23,EUR,ECB,0.5969,
2009-03-24,EUR,ECB,0.6039,
2009-03-25,EUR,ECB,0.6025,
2009-03-26,EUR,ECB,0.5986,
2009-03-27,EUR,ECB,0.6081,
2009-03-30,EUR,ECB,0.6049,
2009-03-31,EUR,ECB,0.5993,
2009-04-01,EUR,ECB,0.5965,
2009-04-02,EUR,ECB,0.5979,
2009-04-03,EUR,ECB,0.6001,
2009-04-06,EUR,ECB,0.6004,
2009-04-07,EUR,ECB,0.606,
2009-04-08,EUR,ECB,0.612,
2009-04-09,EUR,ECB,0.6124,
2009-04-14,EUR,ECB,0.6205,
2009-04-15,EUR,ECB,0.6248,
2009-04-16,EUR,ECB,0.63,
2009-04-17,EUR,ECB,0.6323,
2009-04-20,EUR,ECB,0.6256,
2009-04-21,EUR,ECB,0.623,
2009-04-22,EUR,ECB,0.6209,
2009-04-23,EUR,ECB,0.6208,
2009-04-24,EUR,ECB,0.6203,
2009-04-27,EUR,ECB,0.6268,
2009-04-28,EUR,ECB,0.6282,
2009-04-29,EUR,ECB,0.6273,
2009-04-30,EUR,ECB,0.6335,
2009-05-04,EUR,ECB,0.6377,
2009-05-05,EUR,ECB,0.6382,
2009-05-06,EUR,ECB,0.6374,
2009-05-07,EUR,ECB,0.6423,
2009-05-08,EUR,ECB,0.6418,
2009-05-11,EUR,ECB,0.6379,
2009-05-12,EUR,ECB,0.6303,
2009-05-13,EUR,ECB,0.6316,
2009-05-14,EUR,ECB,0.6261,
2009-05-15,EUR,ECB,0.6292,
2009-05-18,EUR,ECB,0.6338,
2009-05-19,EUR,ECB,0.6348,
2009-05-20,EUR,ECB,0.636,
2009-05-21,EUR,ECB,0.6348,
2009-05-22,EUR,ECB,0.6352,
2009-05-25,EUR,ECB,0.6338,
2009-05-26,EUR,ECB,0.637,
2009-05-27,EUR,ECB,0.6437,
2009-05-28,EUR,ECB,0.6433,
2009-05-29,EUR,ECB,0.6451,
2009-06-01,EUR,ECB,0.6495,
2009-06-02,EUR,ECB,0.648,
2009-06-03,EUR,ECB,0.6469,
2009-06-04,EUR,ECB,0.6372,
2009-06-05,EUR,ECB,0.6387,
2009-06-08,EUR,ECB,0.6432,
2009-06-09,EUR,ECB,0.6493,
2009-06-10,EUR,ECB,0.6452,
2009-06-11,EUR,ECB,0.6482,
2009-06-12,EUR,ECB,0.6366,
2009-06-15,EUR,ECB,0.6373,
2009-06-16,EUR,ECB,0.6405,
2009-06-17,EUR,ECB,0.6332,
2009-06-18,EUR,ECB,0.6346,
2009-06-19,EUR,ECB,0.6366,
2009-06-22,EUR,ECB,0.6301,
2009-06-23,EUR,ECB,0.6211,
2009-06-24,EUR,ECB,0.6209,
2009-06-25,EUR,ECB,0.6173,
2009-06-26,EUR,ECB,0.6185,
2009-06-29,EUR,ECB,0.6159,
2009-06-30,EUR,ECB,0.6144,
2009-07-01,EUR,ECB,0.6164,
2009-07-02,EUR,ECB,0.6172,
2009-07-03,EUR,ECB,0.6172,
2009-07-06,EUR,ECB,0.6176,
2009-07-07,EUR,ECB,0.6164,
2009-07-08,EUR,ECB,0.6171,
2009-07-09,EUR,ECB,0.618,
2009-07-10,EUR,ECB,0.6168,
2009-07-13,EUR,ECB,0.6158,
2009-07-14,EUR,ECB,0.6243,
2009-07-15,EUR,ECB,0.6324,
2009-07-16,EUR,ECB,0.6334,
2009-07-17,EUR,ECB,0.6356,
2009-07-20,EUR,ECB,0.6369,
2009-07-21,EUR,ECB,0.6374,
2009-07-22,EUR,ECB,0.6368,
2009-07-23,EUR,ECB,0.6408,
2009-07-24,EUR,ECB,0.6491,
2009-07-27,EUR,ECB,0.648,
2009-07-28,EUR,ECB,0.6503,
2009-07-29,EUR,ECB,0.6521,
2009-07-30,EUR,ECB,0.6562,
2009-07-31,EUR,ECB,0.6564,
2009-08-03,EUR,ECB,0.6547,
2009-08-04,EUR,ECB,0.6507,
2009-08-05,EUR,ECB,0.6449,
2009-08-06,EUR,ECB,0.6487,
2009-08-07,EUR,ECB,0.6435,
2009-08-10,EUR,ECB,0.651,
2009-08-11,EUR,ECB,0.6436,
2009-08-12,EUR,ECB,0.6397,
2009-08-13,EUR,ECB,0.6472,
2009-08-14,EUR,ECB,0.6448,
2009-08-17,EUR,ECB,0.6402,
2009-08-18,EUR,ECB,0.6408,
2009-08-19,EUR,ECB,0.6387,
2009-08-20,EUR,ECB,0.641,
2009-08-21,EUR,ECB,0.6435,
2009-08-24,EUR,ECB,0.6475,
2009-08-25,EUR,ECB,0.6489,
2009-08-26,EUR,ECB,0.6423,
2009-08-27,EUR,ECB,0.6411,
2009-08-28,EUR,ECB,0.6442,
2009-08-31,EUR,ECB,0.6332,
2009-09-01,EUR,ECB,0.6381,
2009-09-02,EUR,ECB,0.6361,
2009-09-03,EUR,ECB,0.6352,
2009-09-04,EUR,ECB,0.6418,
2009-09-07,EUR,ECB,0.6481,
2009-09-08,EUR,ECB,0.6459,
2009-09-09,EUR,ECB,0.6373,
2009-09-10,EUR,ECB,0.6333,
2009-09-11,EUR,ECB,0.6358,
2009-09-14,EUR,ECB,0.6298,
2009-09-15,EUR,ECB,0.6302,
2009-09-16,EUR,ECB,0.6371,
2009-09-17,EUR,ECB,0.6381,
2009-09-18,EUR,ECB,0.6348,
2009-09-21,EUR,ECB,0.6337,
