date,to_curr,provider,rate,markup
2014-01-02,EUR,ECB,0.8125,
2014-01-03,EUR,ECB,0.8124,
2014-01-06,EUR,ECB,0.8118,
2014-01-07,EUR,ECB,0.8086,
2014-01-08,EUR,ECB,0.8076,
2014-01-09,EUR,ECB,0.8085,
2014-01-10,EUR,ECB,0.8102,
2014-01-13,EUR,ECB,0.8102,
2014-01-14,EUR,ECB,0.8108,
2014-01-15,EUR,ECB,0.8095,
2014-01-16,EUR,ECB,0.8097,
2014-01-17,EUR,ECB,0.8109,
2014-01-20,EUR,ECB,0.8106,
2014-01-21,EUR,ECB,0.8093,
2014-01-22,EUR,ECB,0.81,
2014-01-23,EUR,ECB,0.8119,
2014-01-24,EUR,ECB,0.8159,
2014-01-27,EUR,ECB,0.8152,
2014-01-28,EUR,ECB,0.8145,
2014-01-29,EUR,ECB,0.816,
2014-01-30,EUR,ECB,0.8175,
2014-01-31,EUR,ECB,0.8183,
2014-02-03,EUR,ECB,0.8179,
2014-02-04,EUR,ECB,0.8187,
2014-02-05,EUR,ECB,0.8182,
2014-02-06,EUR,ECB,0.8181,
2014-02-07,EUR,ECB,0.8172,
2014-02-10,EUR,ECB,0.8174,
2014-02-11,EUR,ECB,0.8173,
2014-02-12,EUR,ECB,0.8164,
2014-02-13,EUR,ECB,0.8186,
2014-02-14,EUR,ECB,0.8183,
2014-02-17,EUR,ECB,0.8183,
2014-02-18,EUR,ECB,0.8183,
2014-02-19,EUR,ECB,0.8187,
2014-02-20,EUR,ECB,0.8195,
2014-02-21,EUR,ECB,0.82,
2014-02-24,EUR,ECB,0.8191,
2014-02-25,EUR,ECB,0.8201,
2014-02-26,EUR,ECB,0.8198,
2014-02-27,EUR,ECB,0.8223,
2014-02-28,EUR,ECB,0.8228,
2014-03-03,EUR,ECB,0.8245,
2014-03-04,EUR,ECB,0.8216,
2014-03-05,EUR,ECB,0.8206,
2014-03-06,EUR,ECB,0.8203,
2014-03-07,EUR,ECB,0.8203,
2014-03-10,EUR,ECB,0.8202,
2014-03-11,EUR,ECB,0.8214,
2014-03-12,EUR,ECB,0.8224,
2014-03-13,EUR,ECB,0.8224,
2014-03-14,EUR,ECB,0.8248,
2014-03-17,EUR,ECB,0.8228,
2014-03-18,EUR,ECB,0.8222,
2014-03-19,EUR,ECB,0.8219,
2014-03-20,EUR,ECB,0.8203,
2014-03-21,EUR,ECB,0.8209,
2014-03-24,EUR,ECB,0.8199,
2014-03-25,EUR,ECB,0.8199,
2014-03-26,EUR,ECB,0.8186,
2014-03-27,EUR,ECB,0.8205,
2014-03-28,EUR,ECB,0.8206,
2014-03-31,EUR,ECB,0.8201,
2014-04-01,EUR,ECB,0.8212,
2014-04-02,EUR,ECB,0.8203,
2014-04-03,EUR,ECB,0.8191,
2014-04-04,EUR,ECB,0.8173,
2014-04-07,EUR,ECB,0.8195,
2014-04-08,EUR,ECB,0.8197,
2014-04-09,EUR,ECB,0.8207,
2014-04-10,EUR,ECB,0.821,
2014-04-11,EUR,ECB,0.8223,
2014-04-14,EUR,ECB,0.8228,
2014-04-15,EUR,ECB,0.8222,
2014-04-16,EUR,ECB,0.8218,
2014-04-17,EUR,ECB,0.8214,
2014-04-22,EUR,ECB,0.8187,
2014-04-23,EUR,ECB,0.8198,
2014-04-24,EUR,ECB,0.8195,
2014-04-25,EUR,ECB,0.8201,
2014-04-28,EUR,ECB,0.821,
2014-04-29,EUR,ECB,0.8197,
2014-04-30,EUR,ECB,0.8197,
2014-05-02,EUR,ECB,0.8204,
2014-05-05,EUR,ECB,0.8214,
2014-05-06,EUR,ECB,0.8218,
2014-05-07,EUR,ECB,0.8206,
2014-05-08,EUR,ECB,0.8212,
2014-05-09,EUR,ECB,0.8206,
2014-05-12,EUR,ECB,0.8189,
2014-05-13,EUR,ECB,0.8196,
2014-05-14,EUR,ECB,0.8197,
2014-05-15,EUR,ECB,0.8179,
2014-05-16,EUR,ECB,0.819,
2014-05-19,EUR,ECB,0.8178,
2014-05-20,EUR,ECB,0.8181,
2014-05-21,EUR,ECB,0.8186,
2014-05-22,EUR,ECB,0.8187,
2014-05-23,EUR,ECB,0.819,
2014-05-26,EUR,ECB,0.819,
2014-05-27,EUR,ECB,0.8183,
2014-05-28,EUR,ECB,0.818,
2014-05-29,EUR,ECB,0.819,
2014-05-30,EUR,ECB,0.8194,
2014-06-02,EUR,ECB,0.8187,
2014-06-03,EUR,ECB,0.8186,
2014-06-04,EUR,ECB,0.8194,
2014-06-05,EUR,ECB,0.8197,
2014-06-06,EUR,ECB,0.8207,
2014-06-09,EUR,ECB,0.8201,
2014-06-10,EUR,ECB,0.8205,
2014-06-11,EUR,ECB,0.8211,
2014-06-12,EUR,ECB,0.8214,
2014-06-13,EUR,ECB,0.8212,
2014-06-16,EUR,ECB,0.8213,
2014-06-17,EUR,ECB,0.8205,
2014-06-18,EUR,ECB,0.821,
2014-06-19,EUR,ECB,0.8217,
2014-06-20,EUR,ECB,0.8218,
2014-06-23,EUR,ECB,0.8219,
2014-06-24,EUR,ECB,0.8215,
2014-06-25,EUR,ECB,0.8218,
2014-06-26,EUR,ECB,0.8221,
2014-06-27,EUR,ECB,0.8222,
2014-06-30,EUR,ECB,0.8226,
2014-07-01,EUR,ECB,0.8239,
2014-07-02,EUR,ECB,0.8239,
2014-07-03,EUR,ECB,0.8232,
2014-07-04,EUR,ECB,0.8224,
2014-07-07,EUR,ECB,0.8227,
2014-07-08,EUR,ECB,0.8227,
