date,to_curr,provider,rate,markup
2026-01-01,EUR,MASTERCARD,0.0009504,
2026-01-01,EUR,VISA,0.0009489072,0
2026-01-01,GBP,MASTERCARD,0.0008312,
2026-01-01,GBP,VISA,0.0008299308,0
2026-01-01,INR,MASTERCARD,0.1001882,
2026-01-01,INR,VISA,0.1001055423,0
2026-01-01,USD,MASTERCARD,0.0011138,
2026-01-01,USD,VISA,0.0011120254,0
2026-01-02,EUR,MASTERCARD,0.000953,
2026-01-02,EUR,VISA,0.0009489072,0
2026-01-02,GBP,MASTERCARD,0.000831,
2026-01-02,GBP,VISA,0.0008299308,0
2026-01-02,INR,MASTERCARD,0.1006921,
2026-01-02,INR,VISA,0.1001055423,0
2026-01-02,USD,MASTERCARD,0.0011161,
2026-01-02,USD,VISA,0.0011120254,0
2026-01-03,EUR,MASTERCARD,0.000953,
2026-01-03,EUR,VISA,0.0009436816,0
2026-01-03,GBP,MASTERCARD,0.000831,
2026-01-03,GBP,VISA,0.0008229022,0
2026-01-03,INR,MASTERCARD,0.1006921,
2026-01-03,INR,VISA,0.0997589577,0
2026-01-03,USD,MASTERCARD,0.0011161,
2026-01-03,USD,VISA,0.0011052411,0
2026-01-04,EUR,MASTERCARD,0.000953,
2026-01-04,EUR,VISA,0.0009436816,0
2026-01-04,GBP,MASTERCARD,0.000831,
2026-01-04,GBP,VISA,0.0008229022,0
2026-01-04,INR,MASTERCARD,0.1006921,
2026-01-04,INR,VISA,0.0997589577,0
2026-01-04,USD,MASTERCARD,0.0011161,
2026-01-04,USD,VISA,0.0011052411,0
2026-01-05,EUR,MASTERCARD,0.0009512,
2026-01-05,EUR,VISA,0.0009436816,0
2026-01-05,GBP,MASTERCARD,0.0008269,
2026-01-05,GBP,VISA,0.0008229022,0
2026-01-05,INR,MASTERCARD,0.1001955,
2026-01-05,INR,VISA,0.0997589577,0
2026-01-05,USD,MASTERCARD,0.0011089,
2026-01-05,USD,VISA,0.0011052411,0
2026-01-06,EUR,MASTERCARD,0.0009512,
2026-01-06,GBP,MASTERCARD,0.0008269,
2026-01-06,INR,MASTERCARD,0.1001955,
2026-01-06,USD,MASTERCARD,0.0011089,
