date,to_curr,provider,rate,markup
2009-01-02,EUR,ECB,0.1057,
2009-01-05,EUR,ECB,0.1078,
2009-01-06,EUR,ECB,0.1097,
2009-01-07,EUR,ECB,0.1076,
2009-01-08,EUR,ECB,0.1074,
2009-01-09,EUR,ECB,0.1069,
2009-01-12,EUR,ECB,0.1092,
2009-01-13,EUR,ECB,0.1103,
2009-01-14,EUR,ECB,0.1111,
2009-01-15,EUR,ECB,0.1118,
2009-01-16,EUR,ECB,0.1102,
2009-01-19,EUR,ECB,0.111,
2009-01-20,EUR,ECB,0.1131,
2009-01-21,EUR,ECB,0.1133,
2009-01-22,EUR,ECB,0.1126,
2009-01-23,EUR,ECB,0.1143,
2009-01-26,EUR,ECB,0.1126,
2009-01-27,EUR,ECB,0.111,
2009-01-28,EUR,ECB,0.1103,
2009-01-29,EUR,ECB,0.1115,
2009-01-30,EUR,ECB,0.1141,
2009-02-02,EUR,ECB,0.1144,
2009-02-03,EUR,ECB,0.1138,
2009-02-04,EUR,ECB,0.1142,
2009-02-05,EUR,ECB,0.114,
2009-02-06,EUR,ECB,0.1143,
2009-02-09,EUR,ECB,0.1125,
2009-02-10,EUR,ECB,0.1129,
2009-02-11,EUR,ECB,0.1131,
2009-02-12,EUR,ECB,0.114,
2009-02-13,EUR,ECB,0.1141,
2009-02-16,EUR,ECB,0.1146,
2009-02-17,EUR,ECB,0.1157,
2009-02-18,EUR,ECB,0.1161,
2009-02-19,EUR,ECB,0.1151,
2009-02-20,EUR,ECB,0.1162,
2009-02-23,EUR,ECB,0.1143,
2009-02-24,EUR,ECB,0.1146,
2009-02-25,EUR,ECB,0.1143,
2009-02-26,EUR,ECB,0.1144,
2009-02-27,EUR,ECB,0.1156,
2009-03-02,EUR,ECB,0.116,
2009-03-03,EUR,ECB,0.1159,
2009-03-04,EUR,ECB,0.1164,
2009-03-05,EUR,ECB,0.1164,
2009-03-06,EUR,ECB,0.1155,
2009-03-09,EUR,ECB,0.1164,
2009-03-10,EUR,ECB,0.1143,
2009-03-11,EUR,ECB,0.1143,
2009-03-12,EUR,ECB,0.1144,
2009-03-13,EUR,ECB,0.1133,
