date,to_curr,provider,rate,markup
2026-01-01,EUR,VISA,0.0002271217,0
2026-01-01,GBP,VISA,0.0001986446,0
2026-01-01,INR,VISA,0.0239603389,0
2026-01-01,USD,VISA,0.0002661641,0
2026-01-02,EUR,VISA,0.0002271217,0
2026-01-02,GBP,VISA,0.0001986446,0
2026-01-02,INR,VISA,0.0239603389,0
2026-01-02,USD,VISA,0.0002661641,0
2026-01-03,EUR,VISA,0.0002272574,0
2026-01-03,GBP,VISA,0.0001981713,0
2026-01-03,INR,VISA,0.024023952,0
2026-01-03,USD,VISA,0.0002661641,0
2026-01-04,EUR,VISA,0.0002272574,0
2026-01-04,GBP,VISA,0.0001981713,0
2026-01-04,INR,VISA,0.024023952,0
2026-01-04,USD,VISA,0.0002661641,0
