date,to_curr,provider,rate,markup
2005-01-03,EUR,ECB,0.03294,
2005-01-04,EUR,ECB,0.03293,
2005-01-05,EUR,ECB,0.03286,
2005-01-06,EUR,ECB,0.03285,
2005-01-07,EUR,ECB,0.033,
2005-01-10,EUR,ECB,0.03306,
2005-01-11,EUR,ECB,0.03304,
2005-01-12,EUR,ECB,0.0328,
2005-01-13,EUR,ECB,0.03291,
2005-01-14,EUR,ECB,0.03293,
2005-01-17,EUR,ECB,0.03292,
2005-01-18,EUR,ECB,0.03292,
2005-01-19,EUR,ECB,0.03303,
2005-01-20,EUR,ECB,0.03292,
2005-01-21,EUR,ECB,0.03292,
2005-01-24,EUR,ECB,0.03303,
2005-01-25,EUR,ECB,0.03322,
2005-01-26,EUR,ECB,0.03331,
2005-01-27,EUR,ECB,0.03311,
2005-01-28,EUR,ECB,0.03309,
2005-01-31,EUR,ECB,0.03318,
2005-02-01,EUR,ECB,0.0333,
2005-02-02,EUR,ECB,0.03324,
2005-02-03,EUR,ECB,0.03326,
2005-02-04,EUR,ECB,0.03337,
2005-02-07,EUR,ECB,0.03339,
2005-02-08,EUR,ECB,0.03339,
2005-02-09,EUR,ECB,0.03341,
2005-02-10,EUR,ECB,0.03334,
2005-02-11,EUR,ECB,0.03326,
2005-02-14,EUR,ECB,0.03326,
2005-02-15,EUR,ECB,0.03324,
2005-02-16,EUR,ECB,0.03326,
2005-02-17,EUR,ECB,0.03335,
2005-02-18,EUR,ECB,0.03345,
2005-02-21,EUR,ECB,0.03342,
2005-02-22,EUR,ECB,0.03351,
2005-02-23,EUR,ECB,0.03341,
2005-02-24,EUR,ECB,0.03349,
2005-02-25,EUR,ECB,0.03364,
2005-02-28,EUR,ECB,0.03362,
2005-03-01,EUR,ECB,0.03375,
2005-03-02,EUR,ECB,0.03373,
2005-03-03,EUR,ECB,0.0338,
2005-03-04,EUR,ECB,0.03371,
2005-03-07,EUR,ECB,0.03384,
2005-03-08,EUR,ECB,0.03387,
2005-03-09,EUR,ECB,0.03409,
2005-03-10,EUR,ECB,0.03389,
2005-03-11,EUR,ECB,0.03393,
2005-03-14,EUR,ECB,0.03377,
2005-03-15,EUR,ECB,0.03376,
2005-03-16,EUR,ECB,0.0335,
2005-03-17,EUR,ECB,0.03336,
2005-03-18,EUR,ECB,0.03361,
2005-03-21,EUR,ECB,0.03317,
2005-03-22,EUR,ECB,0.03344,
2005-03-23,EUR,ECB,0.03325,
2005-03-24,EUR,ECB,0.03323,
2005-03-29,EUR,ECB,0.03311,
2005-03-30,EUR,ECB,0.03324,
2005-03-31,EUR,ECB,0.03338,
