date,to_curr,provider,rate,markup
2013-01-02,EUR,ECB,0.134045,
2013-01-03,EUR,ECB,0.13405,
2013-01-04,EUR,ECB,0.134064,
2013-01-07,EUR,ECB,0.134054,
2013-01-08,EUR,ECB,0.134043,
2013-01-09,EUR,ECB,0.134037,
2013-01-10,EUR,ECB,0.134036,
2013-01-11,EUR,ECB,0.134028,
2013-01-14,EUR,ECB,0.134002,
2013-01-15,EUR,ECB,0.134003,
2013-01-16,EUR,ECB,0.134005,
2013-01-17,EUR,ECB,0.134002,
2013-01-18,EUR,ECB,0.133993,
2013-01-21,EUR,ECB,0.133989,
2013-01-22,EUR,ECB,0.133984,
2013-01-23,EUR,ECB,0.133996,
2013-01-24,EUR,ECB,0.134012,
2013-01-25,EUR,ECB,0.134002,
2013-01-28,EUR,ECB,0.134039,
2013-01-29,EUR,ECB,0.134057,
2013-01-30,EUR,ECB,0.134032,
2013-01-31,EUR,ECB,0.134025,
2013-02-01,EUR,ECB,0.134045,
2013-02-04,EUR,ECB,0.13405,
2013-02-05,EUR,ECB,0.134057,
2013-02-06,EUR,ECB,0.134054,
2013-02-07,EUR,ECB,0.134039,
2013-02-08,EUR,ECB,0.134043,
2013-02-11,EUR,ECB,0.134018,
2013-02-12,EUR,ECB,0.134021,
2013-02-13,EUR,ECB,0.13402,
2013-02-14,EUR,ECB,0.134041,
2013-02-15,EUR,ECB,0.134068,
2013-02-18,EUR,ECB,0.134055,
2013-02-19,EUR,ECB,0.13405,
2013-02-20,EUR,ECB,0.134041,
2013-02-21,EUR,ECB,0.134055,
2013-02-22,EUR,ECB,0.134055,
2013-02-25,EUR,ECB,0.134023,
2013-02-26,EUR,ECB,0.134068,
2013-02-27,EUR,ECB,0.134109,
2013-02-28,EUR,ECB,0.13412,
2013-03-01,EUR,ECB,0.134117,
2013-03-04,EUR,ECB,0.134129,
2013-03-05,EUR,ECB,0.134126,
2013-03-06,EUR,ECB,0.134127,
2013-03-07,EUR,ECB,0.134145,
2013-03-08,EUR,ECB,0.134097,
2013-03-11,EUR,ECB,0.134104,
2013-03-12,EUR,ECB,0.13409,
2013-03-13,EUR,ECB,0.134102,
2013-03-14,EUR,ECB,0.134093,
2013-03-15,EUR,ECB,0.134082,
2013-03-18,EUR,ECB,0.134144,
2013-03-19,EUR,ECB,0.134129,
2013-03-20,EUR,ECB,0.134171,
2013-03-21,EUR,ECB,0.134172,
2013-03-22,EUR,ECB,0.13418,
2013-03-25,EUR,ECB,0.134153,
2013-03-26,EUR,ECB,0.13418,
2013-03-27,EUR,ECB,0.134178,
2013-03-28,EUR,ECB,0.134133,
2013-04-02,EUR,ECB,0.134142,
2013-04-03,EUR,ECB,0.134165,
2013-04-04,EUR,ECB,0.134167,
2013-04-05,EUR,ECB,0.134144,
2013-04-08,EUR,ECB,0.134151,
2013-04-09,EUR,ECB,0.134124,
2013-04-10,EUR,ECB,0.134115,
2013-04-11,EUR,ECB,0.134115,
2013-04-12,EUR,ECB,0.134135,
2013-04-15,EUR,ECB,0.13412,
2013-04-16,EUR,ECB,0.134126,
2013-04-17,EUR,ECB,0.134117,
2013-04-18,EUR,ECB,0.134133,
2013-04-19,EUR,ECB,0.134122,
2013-04-22,EUR,ECB,0.13414,
2013-04-23,EUR,ECB,0.134154,
2013-04-24,EUR,ECB,0.134133,
2013-04-25,EUR,ECB,0.134122,
2013-04-26,EUR,ECB,0.134122,
2013-04-29,EUR,ECB,0.134113,
2013-04-30,EUR,ECB,0.13412,
2013-05-02,EUR,ECB,0.134122,
2013-05-03,EUR,ECB,0.134169,
2013-05-06,EUR,ECB,0.134178,
2013-05-07,EUR,ECB,0.134181,
2013-05-08,EUR,ECB,0.134165,
2013-05-09,EUR,ECB,0.134165,
2013-05-10,EUR,ECB,0.134138,
2013-05-13,EUR,ECB,0.134167,
2013-05-14,EUR,ECB,0.134172,
2013-05-15,EUR,ECB,0.134158,
2013-05-16,EUR,ECB,0.134176,
2013-05-17,EUR,ECB,0.134185,
2013-05-20,EUR,ECB,0.134178,
2013-05-21,EUR,ECB,0.13418,
2013-05-22,EUR,ECB,0.134165,
2013-05-23,EUR,ECB,0.134154,
2013-05-24,EUR,ECB,0.134158,
2013-05-27,EUR,ECB,0.134172,
2013-05-28,EUR,ECB,0.13418,
2013-05-29,EUR,ECB,0.134158,
2013-05-30,EUR,ECB,0.134145,
2013-05-31,EUR,ECB,0.134126,
2013-06-03,EUR,ECB,0.134153,
2013-06-04,EUR,ECB,0.134147,
2013-06-05,EUR,ECB,0.134147,
2013-06-06,EUR,ECB,0.134142,
2013-06-07,EUR,ECB,0.134124,
2013-06-10,EUR,ECB,0.13412,
2013-06-11,EUR,ECB,0.134093,
2013-06-12,EUR,ECB,0.1341,
2013-06-13,EUR,ECB,0.134064,
2013-06-14,EUR,ECB,0.134081,
2013-06-17,EUR,ECB,0.134073,
2013-06-18,EUR,ECB,0.134057,
2013-06-19,EUR,ECB,0.134055,
2013-06-20,EUR,ECB,0.13407,
2013-06-21,EUR,ECB,0.134081,
2013-06-24,EUR,ECB,0.134066,
2013-06-25,EUR,ECB,0.134061,
2013-06-26,EUR,ECB,0.13405,
2013-06-27,EUR,ECB,0.134061,
2013-06-28,EUR,ECB,0.13407,
2013-07-01,EUR,ECB,0.134064,
2013-07-02,EUR,ECB,0.134046,
2013-07-03,EUR,ECB,0.134039,
2013-07-04,EUR,ECB,0.134043,
2013-07-05,EUR,ECB,0.134061,
2013-07-08,EUR,ECB,0.134059,
2013-07-09,EUR,ECB,0.134072,
2013-07-10,EUR,ECB,0.134077,
2013-07-11,EUR,ECB,0.134077,
2013-07-12,EUR,ECB,0.134082,
2013-07-15,EUR,ECB,0.134091,
2013-07-16,EUR,ECB,0.1341,
