date,to_curr,provider,rate,markup
2026-01-01,EUR,VISA,0.0179251512,0
2026-01-01,GBP,VISA,0.0156776511,0
2026-01-01,INR,VISA,1.8910247599,0
2026-01-01,USD,VISA,0.0210065057,0
2026-01-02,EUR,VISA,0.0179251512,0
2026-01-02,GBP,VISA,0.0156776511,0
2026-01-02,INR,VISA,1.8910247599,0
2026-01-02,USD,VISA,0.0210065057,0
2026-01-03,EUR,VISA,0.0179358647,0
2026-01-03,GBP,VISA,0.0156402983,0
2026-01-03,INR,VISA,1.8960453098,0
2026-01-03,USD,VISA,0.0210065057,0
2026-01-04,EUR,VISA,0.0179358647,0
2026-01-04,GBP,VISA,0.0156402983,0
2026-01-04,INR,VISA,1.8960453098,0
2026-01-04,USD,VISA,0.0210065057,0
