date,to_curr,provider,rate,markup
2005-01-03,AUD,ECB,1.7329,
2005-01-03,BGN,ECB,1.9559,
2005-01-03,CAD,ECB,1.6278,
2005-01-03,CHF,ECB,1.5444,
2005-01-03,CZK,ECB,30.361,
2005-01-03,DKK,ECB,7.4371,
2005-01-03,GBP,ECB,0.70725,
2005-01-03,HKD,ECB,10.5055,
2005-01-03,HUF,ECB,245.58,
2005-01-03,ISK,ECB,83.39,
2005-01-03,JPY,ECB,138.84,
2005-01-03,KRW,ECB,1402.16,
2005-01-03,NOK,ECB,8.2135,
2005-01-03,NZD,ECB,1.8877,
2005-01-03,PLN,ECB,4.0774,
2005-01-03,SEK,ECB,8.9758,
2005-01-03,SGD,ECB,2.2113,
2005-01-03,TRY,ECB,1.815,
2005-01-03,USD,ECB,1.3507,
2005-01-03,ZAR,ECB,7.5893,
2005-01-04,AUD,ECB,1.73,
2005-01-04,BGN,ECB,1.9559,
2005-01-04,CAD,ECB,1.6254,
2005-01-04,CHF,ECB,1.5477,
2005-01-04,CZK,ECB,30.366,
2005-01-04,DKK,ECB,7.4351,
2005-01-04,GBP,ECB,0.7062,
2005-01-04,HKD,ECB,10.4042,
2005-01-04,HUF,ECB,245.38,
2005-01-04,ISK,ECB,83.39,
2005-01-04,JPY,ECB,138.49,
2005-01-04,KRW,ECB,1387.96,
2005-01-04,NOK,ECB,8.246,
2005-01-04,NZD,ECB,1.8855,
2005-01-04,PLN,ECB,4.0859,
2005-01-04,SEK,ECB,9.0385,
2005-01-04,SGD,ECB,2.1961,
2005-01-04,TRY,ECB,1.807,
2005-01-04,USD,ECB,1.3365,
2005-01-04,ZAR,ECB,7.7314,
2005-01-05,AUD,ECB,1.7354,
2005-01-05,BGN,ECB,1.9558,
2005-01-05,CAD,ECB,1.6269,
2005-01-05,CHF,ECB,1.5528,
2005-01-05,CZK,ECB,30.429,
2005-01-05,DKK,ECB,7.4396,
2005-01-05,GBP,ECB,0.70485,
2005-01-05,HKD,ECB,10.301,
2005-01-05,HUF,ECB,246.17,
2005-01-05,ISK,ECB,83.24,
2005-01-05,JPY,ECB,138.09,
2005-01-05,KRW,ECB,1383.76,
2005-01-05,NOK,ECB,8.2835,
2005-01-05,NZD,ECB,1.8963,
2005-01-05,PLN,ECB,4.1204,
2005-01-05,SEK,ECB,9.0373,
2005-01-05,SGD,ECB,2.1823,
2005-01-05,TRY,ECB,1.8329,
2005-01-05,USD,ECB,1.3224,
2005-01-05,ZAR,ECB,7.8085,
2005-01-06,AUD,ECB,1.7314,
2005-01-06,BGN,ECB,1.9558,
2005-01-06,CAD,ECB,1.6224,
2005-01-06,CHF,ECB,1.5498,
2005-01-06,CZK,ECB,30.438,
2005-01-06,DKK,ECB,7.44,
2005-01-06,GBP,ECB,0.7039,
2005-01-06,HKD,ECB,10.2754,
2005-01-06,HUF,ECB,247.93,
2005-01-06,ISK,ECB,83.15,
2005-01-06,JPY,ECB,138.3,
2005-01-06,KRW,ECB,1395.95,
2005-01-06,NOK,ECB,8.2535,
2005-01-06,NZD,ECB,1.8909,
2005-01-06,PLN,ECB,4.1192,
2005-01-06,SEK,ECB,9.0339,
2005-01-06,SGD,ECB,2.1766,
2005-01-06,TRY,ECB,1.845,
2005-01-06,USD,ECB,1.3183,
2005-01-06,ZAR,ECB,8.0519,
2005-01-07,AUD,ECB,1.7301,
2005-01-07,BGN,ECB,1.9558,
2005-01-07,CAD,ECB,1.6226,
2005-01-07,CHF,ECB,1.5488,
2005-01-07,CZK,ECB,30.303,
2005-01-07,DKK,ECB,7.4399,
2005-01-07,GBP,ECB,0.7028,
2005-01-07,HKD,ECB,10.2822,
2005-01-07,HUF,ECB,248.58,
