date,to_curr,provider,rate,markup
2000-01-03,EUR,ECB,1.601,
2000-01-04,EUR,ECB,1.5883,
2000-01-05,EUR,ECB,1.5813,
2000-01-06,EUR,ECB,1.5868,
2000-01-07,EUR,ECB,1.5969,
2000-01-10,EUR,ECB,1.6003,
2000-01-11,EUR,ECB,1.5997,
2000-01-12,EUR,ECB,1.5992,
2000-01-13,EUR,ECB,1.5987,
2000-01-14,EUR,ECB,1.6075,
2000-01-17,EUR,ECB,1.6181,
2000-01-18,EUR,ECB,1.6197,
2000-01-19,EUR,ECB,1.6202,
2000-01-20,EUR,ECB,1.6321,
2000-01-21,EUR,ECB,1.6359,
2000-01-24,EUR,ECB,1.6496,
2000-01-25,EUR,ECB,1.6439,
2000-01-26,EUR,ECB,1.641,
2000-01-27,EUR,ECB,1.6423,
2000-01-28,EUR,ECB,1.6526,
2000-01-31,EUR,ECB,1.6537,
2000-02-01,EUR,ECB,1.6611,
2000-02-02,EUR,ECB,1.6526,
2000-02-03,EUR,ECB,1.6431,
2000-02-04,EUR,ECB,1.6142,
2000-02-07,EUR,ECB,1.6303,
2000-02-08,EUR,ECB,1.6176,
2000-02-09,EUR,ECB,1.621,
2000-02-10,EUR,ECB,1.6324,
2000-02-11,EUR,ECB,1.6297,
2000-02-14,EUR,ECB,1.6126,
2000-02-15,EUR,ECB,1.6236,
2000-02-16,EUR,ECB,1.6316,
2000-02-17,EUR,ECB,1.6239,
2000-02-18,EUR,ECB,1.6276,
2000-02-21,EUR,ECB,1.6231,
2000-02-22,EUR,ECB,1.6062,
2000-02-23,EUR,ECB,1.5995,
2000-02-24,EUR,ECB,1.616,
2000-02-25,EUR,ECB,1.6247,
2000-02-28,EUR,ECB,1.6469,
2000-02-29,EUR,ECB,1.6303,
2000-03-01,EUR,ECB,1.6332,
2000-03-02,EUR,ECB,1.6287,
2000-03-03,EUR,ECB,1.6348,
2000-03-06,EUR,ECB,1.6364,
2000-03-07,EUR,ECB,1.6404,
2000-03-08,EUR,ECB,1.6548,
2000-03-09,EUR,ECB,1.6431,
2000-03-10,EUR,ECB,1.6407,
2000-03-13,EUR,ECB,1.6271,
2000-03-14,EUR,ECB,1.6332,
2000-03-15,EUR,ECB,1.6287,
2000-03-16,EUR,ECB,1.6247,
2000-03-17,EUR,ECB,1.6271,
2000-03-20,EUR,ECB,1.6126,
2000-03-21,EUR,ECB,1.6192,
2000-03-22,EUR,ECB,1.6327,
2000-03-23,EUR,ECB,1.6383,
2000-03-24,EUR,ECB,1.6353,
2000-03-27,EUR,ECB,1.6428,
2000-03-28,EUR,ECB,1.6426,
2000-03-29,EUR,ECB,1.6578,
2000-03-30,EUR,ECB,1.6639,
2000-03-31,EUR,ECB,1.6708,
2000-04-03,EUR,ECB,1.6667,
2000-04-04,EUR,ECB,1.6748,
2000-04-05,EUR,ECB,1.6426,
2000-04-06,EUR,ECB,1.6461,
2000-04-07,EUR,ECB,1.6537,
2000-04-10,EUR,ECB,1.6491,
2000-04-11,EUR,ECB,1.6515,
2000-04-12,EUR,ECB,1.6562,
2000-04-13,EUR,ECB,1.6669,
2000-04-14,EUR,ECB,1.6622,
2000-04-17,EUR,ECB,1.6595,
2000-04-18,EUR,ECB,1.6658,
2000-04-19,EUR,ECB,1.6714,
2000-04-20,EUR,ECB,1.6852,
2000-04-25,EUR,ECB,1.6961,
2000-04-26,EUR,ECB,1.7161,
2000-04-27,EUR,ECB,1.7161,
2000-04-28,EUR,ECB,1.7259,
2000-05-02,EUR,ECB,1.7161,
2000-05-03,EUR,ECB,1.751,
2000-05-04,EUR,ECB,1.7188,
2000-05-05,EUR,ECB,1.7129,
2000-05-08,EUR,ECB,1.7091,
2000-05-09,EUR,ECB,1.7103,
2000-05-10,EUR,ECB,1.6734,
2000-05-11,EUR,ECB,1.6526,
2000-05-12,EUR,ECB,1.6779,
2000-05-15,EUR,ECB,1.6543,
