date,to_curr,provider,rate,markup
2013-01-02,EUR,ECB,0.003428,
2013-01-03,EUR,ECB,0.003435,
2013-01-04,EUR,ECB,0.003437,
2013-01-07,EUR,ECB,0.00343,
2013-01-08,EUR,ECB,0.003416,
2013-01-09,EUR,ECB,0.00344,
2013-01-10,EUR,ECB,0.003429,
2013-01-11,EUR,ECB,0.003372,
2013-01-14,EUR,ECB,0.003366,
2013-01-15,EUR,ECB,0.003393,
2013-01-16,EUR,ECB,0.00339,
2013-01-17,EUR,ECB,0.003406,
2013-01-18,EUR,ECB,0.003416,
2013-01-21,EUR,ECB,0.003418,
2013-01-22,EUR,ECB,0.003398,
2013-01-23,EUR,ECB,0.003395,
2013-01-24,EUR,ECB,0.003391,
2013-01-25,EUR,ECB,0.003357,
2013-01-28,EUR,ECB,0.003351,
2013-01-29,EUR,ECB,0.003362,
2013-01-30,EUR,ECB,0.003377,
2013-01-31,EUR,ECB,0.003421,
2013-02-01,EUR,ECB,0.00342,
2013-02-04,EUR,ECB,0.00341,
2013-02-05,EUR,ECB,0.003421,
2013-02-06,EUR,ECB,0.003399,
2013-02-07,EUR,ECB,0.003397,
2013-02-08,EUR,ECB,0.003422,
2013-02-11,EUR,ECB,0.003428,
2013-02-12,EUR,ECB,0.003433,
2013-02-13,EUR,ECB,0.003459,
2013-02-14,EUR,ECB,0.003419,
2013-02-15,EUR,ECB,0.00342,
2013-02-18,EUR,ECB,0.003425,
2013-02-19,EUR,ECB,0.003439,
2013-02-20,EUR,ECB,0.003433,
2013-02-21,EUR,ECB,0.003419,
2013-02-22,EUR,ECB,0.003418,
2013-02-25,EUR,ECB,0.003407,
2013-02-26,EUR,ECB,0.003391,
2013-02-27,EUR,ECB,0.003384,
2013-02-28,EUR,ECB,0.003381,
2013-03-01,EUR,ECB,0.003387,
2013-03-04,EUR,ECB,0.00337,
2013-03-05,EUR,ECB,0.003346,
2013-03-06,EUR,ECB,0.00335,
2013-03-07,EUR,ECB,0.003339,
2013-03-08,EUR,ECB,0.00336,
2013-03-11,EUR,ECB,0.003296,
2013-03-12,EUR,ECB,0.003282,
2013-03-13,EUR,ECB,0.003272,
2013-03-14,EUR,ECB,0.003275,
2013-03-15,EUR,ECB,0.003278,
2013-03-18,EUR,ECB,0.003256,
2013-03-19,EUR,ECB,0.003277,
2013-03-20,EUR,ECB,0.003279,
2013-03-21,EUR,ECB,0.003274,
2013-03-22,EUR,ECB,0.003255,
2013-03-25,EUR,ECB,0.003263,
2013-03-26,EUR,ECB,0.003284,
2013-03-27,EUR,ECB,0.003288,
2013-03-28,EUR,ECB,0.003285,
2013-04-02,EUR,ECB,0.003312,
2013-04-03,EUR,ECB,0.00331,
2013-04-04,EUR,ECB,0.003318,
2013-04-05,EUR,ECB,0.003321,
2013-04-08,EUR,ECB,0.003359,
2013-04-09,EUR,ECB,0.00336,
2013-04-10,EUR,ECB,0.003354,
2013-04-11,EUR,ECB,0.003358,
2013-04-12,EUR,ECB,0.003395,
2013-04-15,EUR,ECB,0.003398,
2013-04-16,EUR,ECB,0.003393,
2013-04-17,EUR,ECB,0.003395,
2013-04-18,EUR,ECB,0.003356,
2013-04-19,EUR,ECB,0.003353,
2013-04-22,EUR,ECB,0.003336,
2013-04-23,EUR,ECB,0.003339,
2013-04-24,EUR,ECB,0.003338,
2013-04-25,EUR,ECB,0.00332,
2013-04-26,EUR,ECB,0.003316,
2013-04-29,EUR,ECB,0.003354,
2013-04-30,EUR,ECB,0.003332,
2013-05-02,EUR,ECB,0.003366,
2013-05-03,EUR,ECB,0.003377,
2013-05-06,EUR,ECB,0.003374,
2013-05-07,EUR,ECB,0.003376,
2013-05-08,EUR,ECB,0.003409,
2013-05-09,EUR,ECB,0.003411,
2013-05-10,EUR,ECB,0.003411,
2013-05-13,EUR,ECB,0.003409,
2013-05-14,EUR,ECB,0.003384,
2013-05-15,EUR,ECB,0.003421,
2013-05-16,EUR,ECB,0.003442,
2013-05-17,EUR,ECB,0.003442,
2013-05-20,EUR,ECB,0.003448,
2013-05-21,EUR,ECB,0.003443,
2013-05-22,EUR,ECB,0.003459,
2013-05-23,EUR,ECB,0.003423,
2013-05-24,EUR,ECB,0.003444,
2013-05-27,EUR,ECB,0.003457,
2013-05-28,EUR,ECB,0.003498,
2013-05-29,EUR,ECB,0.003472,
2013-05-30,EUR,ECB,0.003409,
2013-05-31,EUR,ECB,0.003377,
2013-06-03,EUR,ECB,0.003385,
2013-06-04,EUR,ECB,0.00343,
2013-06-05,EUR,ECB,0.003394,
