date,to_curr,provider,rate,markup
2021-01-04,EUR,ECB,0.00005861,
2021-01-05,EUR,ECB,0.00005856,
2021-01-06,EUR,ECB,0.00005825,
2021-01-07,EUR,ECB,0.00005794,
2021-01-08,EUR,ECB,0.00005798,
2021-01-11,EUR,ECB,0.00005791,
2021-01-12,EUR,ECB,0.00005813,
2021-01-13,EUR,ECB,0.00005818,
2021-01-14,EUR,ECB,0.00005873,
2021-01-15,EUR,ECB,0.00005871,
2021-01-18,EUR,ECB,0.00005864,
2021-01-19,EUR,ECB,0.00005854,
2021-01-20,EUR,ECB,0.00005881,
2021-01-21,EUR,ECB,0.00005879,
2021-01-22,EUR,ECB,0.00005834,
2021-01-25,EUR,ECB,0.00005845,
2021-01-26,EUR,ECB,0.00005839,
2021-01-27,EUR,ECB,0.0000584,
2021-01-28,EUR,ECB,0.00005859,
2021-01-29,EUR,ECB,0.00005884,
2021-02-01,EUR,ECB,0.00005878,
2021-02-02,EUR,ECB,0.00005925,
2021-02-03,EUR,ECB,0.00005934,
2021-02-04,EUR,ECB,0.00005939,
2021-02-05,EUR,ECB,0.00005945,
2021-02-08,EUR,ECB,0.00005925,
2021-02-09,EUR,ECB,0.00005907,
2021-02-10,EUR,ECB,0.00005897,
2021-02-11,EUR,ECB,0.00005895,
2021-02-12,EUR,ECB,0.00005904,
2021-02-15,EUR,ECB,0.00005932,
2021-02-16,EUR,ECB,0.00005891,
2021-02-17,EUR,ECB,0.00005896,
2021-02-18,EUR,ECB,0.00005883,
2021-02-19,EUR,ECB,0.0000585,
2021-02-22,EUR,ECB,0.00005815,
2021-02-23,EUR,ECB,0.00005838,
2021-02-24,EUR,ECB,0.00005858,
2021-02-25,EUR,ECB,0.00005763,
2021-02-26,EUR,ECB,0.00005763,
2021-03-01,EUR,ECB,0.00005796,
2021-03-02,EUR,ECB,0.00005804,
2021-03-03,EUR,ECB,0.00005822,
2021-03-04,EUR,ECB,0.00005825,
2021-03-05,EUR,ECB,0.00005819,
2021-03-08,EUR,ECB,0.00005869,
2021-03-09,EUR,ECB,0.00005834,
2021-03-10,EUR,ECB,0.00005838,
2021-03-11,EUR,ECB,0.000058,
2021-03-12,EUR,ECB,0.00005823,
2021-03-15,EUR,ECB,0.00005826,
2021-03-16,EUR,ECB,0.00005812,
2021-03-17,EUR,ECB,0.00005808,
2021-03-18,EUR,ECB,0.00005826,
2021-03-19,EUR,ECB,0.00005838,
2021-03-22,EUR,ECB,0.00005822,
2021-03-23,EUR,ECB,0.00005846,
2021-03-24,EUR,ECB,0.00005854,
2021-03-25,EUR,ECB,0.00005874,
2021-03-26,EUR,ECB,0.00005887,
2021-03-29,EUR,ECB,0.00005875,
2021-03-30,EUR,ECB,0.00005861,
2021-03-31,EUR,ECB,0.00005872,
2021-04-01,EUR,ECB,0.00005859,
2021-04-06,EUR,ECB,0.00005837,
2021-04-07,EUR,ECB,0.00005779,
2021-04-08,EUR,ECB,0.00005795,
2021-04-09,EUR,ECB,0.00005762,
2021-04-12,EUR,ECB,0.0000575,
2021-04-13,EUR,ECB,0.00005737,
2021-04-14,EUR,ECB,0.00005715,
2021-04-15,EUR,ECB,0.00005715,
2021-04-16,EUR,ECB,0.0000574,
2021-04-19,EUR,ECB,0.00005726,
2021-04-20,EUR,ECB,0.00005712,
2021-04-21,EUR,ECB,0.00005726,
2021-04-22,EUR,ECB,0.00005709,
2021-04-23,EUR,ECB,0.00005706,
2021-04-26,EUR,ECB,0.00005714,
2021-04-27,EUR,ECB,0.00005701,
2021-04-28,EUR,ECB,0.00005714,
2021-04-29,EUR,ECB,0.00005719,
2021-04-30,EUR,ECB,0.00005739,
2021-05-03,EUR,ECB,0.00005756,
2021-05-04,EUR,ECB,0.00005749,
2021-05-05,EUR,ECB,0.00005776,
2021-05-06,EUR,ECB,0.00005798,
2021-05-07,EUR,ECB,0.00005811,
2021-05-10,EUR,ECB,0.00005818,
2021-05-11,EUR,ECB,0.00005796,
2021-05-12,EUR,ECB,0.00005786,
2021-05-13,EUR,ECB,0.00005774,
2021-05-14,EUR,ECB,0.0000577,
2021-05-17,EUR,ECB,0.0000574,
2021-05-18,EUR,ECB,0.00005733,
2021-05-19,EUR,ECB,0.00005697,
2021-05-20,EUR,ECB,0.00005685,
2021-05-21,EUR,ECB,0.00005716,
2021-05-24,EUR,ECB,0.00005704,
2021-05-25,EUR,ECB,0.0000569,
2021-05-26,EUR,ECB,0.00005723,
2021-05-27,EUR,ECB,0.00005731,
2021-05-28,EUR,ECB,0.00005746,
2021-05-31,EUR,ECB,0.00005746,
2021-06-01,EUR,ECB,0.00005738,
2021-06-02,EUR,ECB,0.0000575,
2021-06-03,EUR,ECB,0.0000574,
2021-06-04,EUR,ECB,0.00005761,
2021-06-07,EUR,ECB,0.00005772,
2021-06-08,EUR,ECB,0.00005761,
2021-06-09,EUR,ECB,0.00005755,
2021-06-10,EUR,ECB,0.00005755,
2021-06-11,EUR,ECB,0.00005809,
2021-06-14,EUR,ECB,0.00005791,
2021-06-15,EUR,ECB,0.00005796,
2021-06-16,EUR,ECB,0.0000579,
2021-06-17,EUR,ECB,0.00005792,
2021-06-18,EUR,ECB,0.00005822,
2021-06-21,EUR,ECB,0.00005822,
2021-06-22,EUR,ECB,0.00005815,
2021-06-23,EUR,ECB,0.00005792,
2021-06-24,EUR,ECB,0.00005797,
2021-06-25,EUR,ECB,0.00005799,
2021-06-28,EUR,ECB,0.00005789,
2021-06-29,EUR,ECB,0.00005767,
2021-06-30,EUR,ECB,0.00005787,
2021-07-01,EUR,ECB,0.00005794,
2021-07-02,EUR,ECB,0.00005817,
2021-07-05,EUR,ECB,0.00005822,
2021-07-06,EUR,ECB,0.0000583,
2021-07-07,EUR,ECB,0.00005832,
2021-07-08,EUR,ECB,0.00005787,
2021-07-09,EUR,ECB,0.00005817,
2021-07-12,EUR,ECB,0.00005814,
2021-07-13,EUR,ECB,0.00005833,
2021-07-14,EUR,ECB,0.00005845,
2021-07-15,EUR,ECB,0.00005833,
2021-07-16,EUR,ECB,0.00005854,
2021-07-19,EUR,ECB,0.00005833,
2021-07-20,EUR,ECB,0.00005833,
2021-07-21,EUR,ECB,0.00005841,
2021-07-22,EUR,ECB,0.00005861,
2021-07-23,EUR,ECB,0.00005865,
2021-07-26,EUR,ECB,0.00005853,
2021-07-27,EUR,ECB,0.00005845,
2021-07-28,EUR,ECB,0.00005842,
2021-07-29,EUR,ECB,0.00005823,
2021-07-30,EUR,ECB,0.00005819,
2021-08-02,EUR,ECB,0.00005852,
2021-08-03,EUR,ECB,0.00005884,
2021-08-04,EUR,ECB,0.00005894,
2021-08-05,EUR,ECB,0.00005885,
2021-08-06,EUR,ECB,0.00005905,
2021-08-09,EUR,ECB,0.00005911,
2021-08-10,EUR,ECB,0.0000593,
2021-08-11,EUR,ECB,0.00005924,
2021-08-12,EUR,ECB,0.00005937,
2021-08-13,EUR,ECB,0.00005917,
2021-08-16,EUR,ECB,0.0000591,
2021-08-17,EUR,ECB,0.00005906,
2021-08-18,EUR,ECB,0.00005927,
2021-08-19,EUR,ECB,0.00005909,
2021-08-20,EUR,ECB,0.00005922,
2021-08-23,EUR,ECB,0.00005928,
2021-08-24,EUR,ECB,0.00005918,
2021-08-25,EUR,ECB,0.00005902,
2021-08-26,EUR,ECB,0.00005884,
2021-08-27,EUR,ECB,0.00005893,
2021-08-30,EUR,ECB,0.00005911,
2021-08-31,EUR,ECB,0.00005924,
2021-09-01,EUR,ECB,0.00005927,
2021-09-02,EUR,ECB,0.00005926,
2021-09-03,EUR,ECB,0.00005905,
2021-09-06,EUR,ECB,0.00005925,
2021-09-07,EUR,ECB,0.00005913,
2021-09-08,EUR,ECB,0.00005927,
2021-09-09,EUR,ECB,0.00005932,
2021-09-10,EUR,ECB,0.00005948,
2021-09-13,EUR,ECB,0.00005957,
2021-09-14,EUR,ECB,0.00005932,
2021-09-15,EUR,ECB,0.00005943,
2021-09-16,EUR,ECB,0.00005964,
2021-09-17,EUR,ECB,0.00005966,
2021-09-20,EUR,ECB,0.00005973,
2021-09-21,EUR,ECB,0.00005985,
2021-09-22,EUR,ECB,0.0000599,
2021-09-23,EUR,ECB,0.00005998,
2021-09-24,EUR,ECB,0.00005971,
2021-09-27,EUR,ECB,0.00005998,
2021-09-28,EUR,ECB,0.00005989,
2021-09-29,EUR,ECB,0.00005999,
2021-09-30,EUR,ECB,0.00006034,
2021-10-01,EUR,ECB,0.00006037,
2021-10-04,EUR,ECB,0.00006033,
2021-10-05,EUR,ECB,0.00006058,
2021-10-06,EUR,ECB,0.00006065,
2021-10-07,EUR,ECB,0.00006095,
2021-10-08,EUR,ECB,0.00006086,
2021-10-11,EUR,ECB,0.00006081,
2021-10-12,EUR,ECB,0.00006099,
2021-10-13,EUR,ECB,0.00006083,
2021-10-14,EUR,ECB,0.00006115,
2021-10-15,EUR,ECB,0.00006138,
2021-10-18,EUR,ECB,0.00006108,
2021-10-19,EUR,ECB,0.00006089,
2021-10-20,EUR,ECB,0.00006096,
2021-10-21,EUR,ECB,0.00006075,
2021-10-22,EUR,ECB,0.0000606,
2021-10-25,EUR,ECB,0.00006078,
2021-10-26,EUR,ECB,0.00006094,
2021-10-27,EUR,ECB,0.00006057,
2021-10-28,EUR,ECB,0.00006072,
2021-10-29,EUR,ECB,0.0000604,
2021-11-01,EUR,ECB,0.00006049,
2021-11-02,EUR,ECB,0.00006035,
2021-11-03,EUR,ECB,0.00006026,
2021-11-04,EUR,ECB,0.00006017,
2021-11-05,EUR,ECB,0.00006059,
2021-11-08,EUR,ECB,0.00006058,
2021-11-09,EUR,ECB,0.00006061,
