date,to_curr,provider,rate,markup
2026-01-01,EUR,MASTERCARD,0.2700278,
2026-01-01,EUR,VISA,0.2689464897,0.78
2026-01-01,GBP,MASTERCARD,0.236171,
2026-01-01,GBP,VISA,0.2352253088,1.01
2026-01-01,INR,MASTERCARD,28.4658713,
2026-01-01,INR,VISA,28.3726739642,0.68
2026-01-01,USD,MASTERCARD,0.3164457,
2026-01-01,USD,VISA,0.3151787065,0.51
2026-01-02,EUR,ECB,0.2687,
2026-01-02,EUR,MASTERCARD,0.2698903,
2026-01-02,EUR,VISA,0.2689464897,0.78
2026-01-02,GBP,MASTERCARD,0.2353477,
2026-01-02,GBP,VISA,0.2352253088,1.01
2026-01-02,INR,MASTERCARD,28.5169193,
2026-01-02,INR,VISA,28.3726739642,0.68
2026-01-02,USD,MASTERCARD,0.3160956,
2026-01-02,USD,VISA,0.3151787065,0.51
2026-01-03,EUR,MASTERCARD,0.2698903,
2026-01-03,EUR,VISA,0.269480946,0.28
2026-01-03,GBP,MASTERCARD,0.2353477,
2026-01-03,GBP,VISA,0.2349907556,0.3
2026-01-03,INR,MASTERCARD,28.5169193,
2026-01-03,INR,VISA,28.48750773,0.28
2026-01-03,USD,MASTERCARD,0.3160956,
2026-01-03,USD,VISA,0.3156163995,0.21
2026-01-04,EUR,MASTERCARD,0.2698903,
2026-01-04,EUR,VISA,0.269480946,0.28
2026-01-04,GBP,MASTERCARD,0.2353477,
2026-01-04,GBP,VISA,0.2349907556,0.3
2026-01-04,INR,MASTERCARD,28.5169193,
2026-01-04,INR,VISA,28.48750773,0.28
2026-01-04,USD,MASTERCARD,0.3160956,
2026-01-04,USD,VISA,0.3156163995,0.21
2026-01-05,EUR,ECB,0.2714,
2026-01-05,EUR,MASTERCARD,0.2722161,
2026-01-05,EUR,VISA,0.269480946,0.28
2026-01-05,GBP,MASTERCARD,0.2366336,
2026-01-05,GBP,VISA,0.2349907556,0.3
2026-01-05,INR,MASTERCARD,28.6738977,
2026-01-05,INR,VISA,28.48750773,0.28
2026-01-05,USD,MASTERCARD,0.3173495,
2026-01-05,USD,VISA,0.3156163995,0.21
2026-01-06,EUR,ECB,0.2701,
2026-01-06,EUR,MASTERCARD,0.2718663,
2026-01-06,EUR,VISA,0.2723105871,0.35
2026-01-06,GBP,MASTERCARD,0.2354669,
2026-01-06,GBP,VISA,0.2367158919,0.54
2026-01-06,INR,MASTERCARD,28.6583662,
2026-01-06,INR,VISA,28.672641067,0.33
2026-01-06,USD,MASTERCARD,0.3176216,
2026-01-06,USD,VISA,0.31746,0.3
2026-01-07,EUR,ECB,0.2694,
