date,to_curr,provider,rate,markup
2022-01-03,EUR,ECB,0.006775,
2022-01-04,EUR,ECB,0.006766,
2022-01-05,EUR,ECB,0.006812,
2022-01-06,EUR,ECB,0.006812,
2022-01-07,EUR,ECB,0.006849,
2022-01-10,EUR,ECB,0.00684,
2022-01-11,EUR,ECB,0.006803,
2022-01-12,EUR,ECB,0.006803,
2022-01-13,EUR,ECB,0.006803,
2022-01-14,EUR,ECB,0.006803,
2022-01-17,EUR,ECB,0.006812,
2022-01-18,EUR,ECB,0.006849,
2022-01-19,EUR,ECB,0.006887,
2022-01-20,EUR,ECB,0.006878,
2022-01-21,EUR,ECB,0.006868,
2022-01-24,EUR,ECB,0.006868,
2022-01-25,EUR,ECB,0.006849,
2022-01-26,EUR,ECB,0.006868,
2022-01-27,EUR,ECB,0.006887,
2022-01-28,EUR,ECB,0.006944,
2022-01-31,EUR,ECB,0.006983,
2022-02-01,EUR,ECB,0.006954,
2022-02-02,EUR,ECB,0.006983,
2022-02-03,EUR,ECB,0.007022,
2022-02-04,EUR,ECB,0.007003,
2022-02-07,EUR,ECB,0.006974,
2022-02-08,EUR,ECB,0.007022,
2022-02-09,EUR,ECB,0.007032,
2022-02-10,EUR,ECB,0.007052,
2022-02-11,EUR,ECB,0.007052,
2022-02-14,EUR,ECB,0.007013,
2022-02-15,EUR,ECB,0.007082,
2022-02-16,EUR,ECB,0.007072,
2022-02-17,EUR,ECB,0.007062,
2022-02-18,EUR,ECB,0.007102,
2022-02-21,EUR,ECB,0.007072,
2022-02-22,EUR,ECB,0.007082,
2022-02-23,EUR,ECB,0.007082,
2022-02-24,EUR,ECB,0.007042,
2022-02-25,EUR,ECB,0.007102,
2022-02-28,EUR,ECB,0.007052,
2022-03-01,EUR,ECB,0.007042,
2022-03-02,EUR,ECB,0.006993,
2022-03-03,EUR,ECB,0.006974,
2022-03-04,EUR,ECB,0.006935,
2022-03-07,EUR,ECB,0.006859,
2022-03-08,EUR,ECB,0.006854,
2022-03-09,EUR,ECB,0.006882,
2022-03-10,EUR,ECB,0.006873,
2022-03-11,EUR,ECB,0.006901,
2022-03-14,EUR,ECB,0.006892,
2022-03-15,EUR,ECB,0.006901,
2022-03-16,EUR,ECB,0.006969,
2022-03-17,EUR,ECB,0.007037,
2022-03-18,EUR,ECB,0.006998,
2022-03-21,EUR,ECB,0.007008,
2022-03-22,EUR,ECB,0.007008,
2022-03-23,EUR,ECB,0.007072,
2022-03-24,EUR,ECB,0.007082,
2022-03-25,EUR,ECB,0.007032,
2022-03-28,EUR,ECB,0.007003,
2022-03-29,EUR,ECB,0.007032,
2022-03-30,EUR,ECB,0.007032,
2022-03-31,EUR,ECB,0.007042,
2022-04-01,EUR,ECB,0.007042,
2022-04-04,EUR,ECB,0.007052,
2022-04-05,EUR,ECB,0.007062,
2022-04-06,EUR,ECB,0.007072,
2022-04-07,EUR,ECB,0.007092,
2022-04-08,EUR,ECB,0.007163,
2022-04-11,EUR,ECB,0.007143,
2022-04-12,EUR,ECB,0.007163,
2022-04-13,EUR,ECB,0.007133,
2022-04-14,EUR,ECB,0.007123,
2022-04-19,EUR,ECB,0.007153,
2022-04-20,EUR,ECB,0.007184,
2022-04-21,EUR,ECB,0.007194,
2022-04-22,EUR,ECB,0.007153,
2022-04-25,EUR,ECB,0.007184,
2022-04-26,EUR,ECB,0.007225,
2022-04-27,EUR,ECB,0.007236,
2022-04-28,EUR,ECB,0.007257,
2022-04-29,EUR,ECB,0.007257,
2022-05-02,EUR,ECB,0.007289,
2022-05-03,EUR,ECB,0.007267,
2022-05-04,EUR,ECB,0.007289,
2022-05-05,EUR,ECB,0.007246,
2022-05-06,EUR,ECB,0.007231,
2022-05-09,EUR,ECB,0.007168,
2022-05-10,EUR,ECB,0.007168,
2022-05-11,EUR,ECB,0.007179,
2022-05-12,EUR,ECB,0.007158,
2022-05-13,EUR,ECB,0.007138,
2022-05-16,EUR,ECB,0.007231,
2022-05-17,EUR,ECB,0.00721,
2022-05-18,EUR,ECB,0.007199,
2022-05-19,EUR,ECB,0.007168,
2022-05-20,EUR,ECB,0.00722,
2022-05-23,EUR,ECB,0.007189,
2022-05-24,EUR,ECB,0.007179,
2022-05-25,EUR,ECB,0.007231,
2022-05-26,EUR,ECB,0.007241,
2022-05-27,EUR,ECB,0.007252,
2022-05-30,EUR,ECB,0.007305,
2022-05-31,EUR,ECB,0.007337,
2022-06-01,EUR,ECB,0.007294,
2022-06-02,EUR,ECB,0.007305,
2022-06-03,EUR,ECB,0.007252,
2022-06-06,EUR,ECB,0.007231,
2022-06-07,EUR,ECB,0.007199,
2022-06-08,EUR,ECB,0.007199,
2022-06-09,EUR,ECB,0.00721,
2022-06-10,EUR,ECB,0.007262,
2022-06-13,EUR,ECB,0.00721,
2022-06-14,EUR,ECB,0.007231,
2022-06-15,EUR,ECB,0.007273,
2022-06-16,EUR,ECB,0.007273,
2022-06-17,EUR,ECB,0.007262,
2022-06-20,EUR,ECB,0.007283,
2022-06-21,EUR,ECB,0.00721,
2022-06-22,EUR,ECB,0.00721,
2022-06-23,EUR,ECB,0.007148,
2022-06-24,EUR,ECB,0.007158,
2022-06-27,EUR,ECB,0.007158,
2022-06-28,EUR,ECB,0.007168,
2022-06-29,EUR,ECB,0.007148,
2022-06-30,EUR,ECB,0.007199,
2022-07-01,EUR,ECB,0.00721,
2022-07-04,EUR,ECB,0.007179,
2022-07-05,EUR,ECB,0.007189,
2022-07-06,EUR,ECB,0.00722,
2022-07-07,EUR,ECB,0.007179,
2022-07-08,EUR,ECB,0.007168,
