date,to_curr,provider,rate,markup
2002-01-02,EUR,ECB,0.008366,
2002-01-03,EUR,ECB,0.008402,
2002-01-04,EUR,ECB,0.008534,
2002-01-07,EUR,ECB,0.008568,
2002-01-08,EUR,ECB,0.008459,
2002-01-09,EUR,ECB,0.008471,
2002-01-10,EUR,ECB,0.008477,
2002-01-11,EUR,ECB,0.008488,
2002-01-14,EUR,ECB,0.008501,
2002-01-15,EUR,ECB,0.008549,
2002-01-16,EUR,ECB,0.008633,
2002-01-17,EUR,ECB,0.008586,
2002-01-18,EUR,ECB,0.008541,
2002-01-21,EUR,ECB,0.00853,
2002-01-22,EUR,ECB,0.008437,
2002-01-23,EUR,ECB,0.008423,
2002-01-24,EUR,ECB,0.008478,
2002-01-25,EUR,ECB,0.008595,
2002-01-28,EUR,ECB,0.008702,
2002-01-29,EUR,ECB,0.0087,
2002-01-30,EUR,ECB,0.008719,
2002-01-31,EUR,ECB,0.008716,
2002-02-01,EUR,ECB,0.008646,
2002-02-04,EUR,ECB,0.008679,
2002-02-05,EUR,ECB,0.008645,
2002-02-06,EUR,ECB,0.008654,
2002-02-07,EUR,ECB,0.00864,
2002-02-08,EUR,ECB,0.008514,
2002-02-11,EUR,ECB,0.008492,
2002-02-12,EUR,ECB,0.008551,
2002-02-13,EUR,ECB,0.008647,
2002-02-14,EUR,ECB,0.008702,
2002-02-15,EUR,ECB,0.00865,
2002-02-18,EUR,ECB,0.008645,
2002-02-19,EUR,ECB,0.008598,
2002-02-20,EUR,ECB,0.008554,
2002-02-21,EUR,ECB,0.008562,
2002-02-22,EUR,ECB,0.008542,
2002-02-25,EUR,ECB,0.008572,
2002-02-26,EUR,ECB,0.008593,
2002-02-27,EUR,ECB,0.008576,
2002-02-28,EUR,ECB,0.008615,
2002-03-01,EUR,ECB,0.008644,
2002-03-04,EUR,ECB,0.008741,
2002-03-05,EUR,ECB,0.008737,
2002-03-06,EUR,ECB,0.008706,
2002-03-07,EUR,ECB,0.008853,
2002-03-08,EUR,ECB,0.008889,
2002-03-11,EUR,ECB,0.008887,
2002-03-12,EUR,ECB,0.008897,
2002-03-13,EUR,ECB,0.008848,
2002-03-14,EUR,ECB,0.00883,
2002-03-15,EUR,ECB,0.008763,
2002-03-18,EUR,ECB,0.008672,
2002-03-19,EUR,ECB,0.008623,
2002-03-20,EUR,ECB,0.008642,
2002-03-21,EUR,ECB,0.008579,
2002-03-22,EUR,ECB,0.008565,
2002-03-25,EUR,ECB,0.008572,
2002-03-26,EUR,ECB,0.008597,
2002-03-27,EUR,ECB,0.008627,
2002-03-28,EUR,ECB,0.008657,
2002-04-02,EUR,ECB,0.008532,
2002-04-03,EUR,ECB,0.008557,
2002-04-04,EUR,ECB,0.00857,
2002-04-05,EUR,ECB,0.008622,
2002-04-08,EUR,ECB,0.00865,
2002-04-09,EUR,ECB,0.008674,
2002-04-10,EUR,ECB,0.008715,
2002-04-11,EUR,ECB,0.008636,
2002-04-12,EUR,ECB,0.0086,
2002-04-15,EUR,ECB,0.008636,
2002-04-16,EUR,ECB,0.008641,
2002-04-17,EUR,ECB,0.008623,
2002-04-18,EUR,ECB,0.008614,
2002-04-19,EUR,ECB,0.008627,
2002-04-22,EUR,ECB,0.008669,
2002-04-23,EUR,ECB,0.008664,
2002-04-24,EUR,ECB,0.008663,
2002-04-25,EUR,ECB,0.008675,
2002-04-26,EUR,ECB,0.008679,
2002-04-29,EUR,ECB,0.008644,
2002-04-30,EUR,ECB,0.008646,
2002-05-02,EUR,ECB,0.008657,
2002-05-03,EUR,ECB,0.008654,
2002-05-06,EUR,ECB,0.008595,
2002-05-07,EUR,ECB,0.008549,
2002-05-08,EUR,ECB,0.008557,
2002-05-09,EUR,ECB,0.008576,
2002-05-10,EUR,ECB,0.008576,
2002-05-13,EUR,ECB,0.00859,
2002-05-14,EUR,ECB,0.008608,
2002-05-15,EUR,ECB,0.008633,
2002-05-16,EUR,ECB,0.008598,
2002-05-17,EUR,ECB,0.008647,
2002-05-20,EUR,ECB,0.008651,
2002-05-21,EUR,ECB,0.008694,
2002-05-22,EUR,ECB,0.008684,
2002-05-23,EUR,ECB,0.008675,
2002-05-24,EUR,ECB,0.0087,
2002-05-27,EUR,ECB,0.008709,
2002-05-28,EUR,ECB,0.008672,
2002-05-29,EUR,ECB,0.00863,
2002-05-30,EUR,ECB,0.008639,
2002-05-31,EUR,ECB,0.008592,
2002-06-03,EUR,ECB,0.008645,
2002-06-04,EUR,ECB,0.008588,
2002-06-05,EUR,ECB,0.00858,
2002-06-06,EUR,ECB,0.008538,
2002-06-07,EUR,ECB,0.008506,
2002-06-10,EUR,ECB,0.00848,
2002-06-11,EUR,ECB,0.008465,
2002-06-12,EUR,ECB,0.008422,
2002-06-13,EUR,ECB,0.008457,
2002-06-14,EUR,ECB,0.008493,
2002-06-17,EUR,ECB,0.00854,
2002-06-18,EUR,ECB,0.008465,
2002-06-19,EUR,ECB,0.008448,
2002-06-20,EUR,ECB,0.008426,
2002-06-21,EUR,ECB,0.00848,
2002-06-24,EUR,ECB,0.00843,
2002-06-25,EUR,ECB,0.00846,
2002-06-26,EUR,ECB,0.008436,
2002-06-27,EUR,ECB,0.00847,
2002-06-28,EUR,ECB,0.00846,
2002-07-01,EUR,ECB,0.008423,
2002-07-02,EUR,ECB,0.008438,
2002-07-03,EUR,ECB,0.008515,
2002-07-04,EUR,ECB,0.008514,
2002-07-05,EUR,ECB,0.008548,
2002-07-08,EUR,ECB,0.008562,
2002-07-09,EUR,ECB,0.008524,
2002-07-10,EUR,ECB,0.008569,
2002-07-11,EUR,ECB,0.008663,
2002-07-12,EUR,ECB,0.008649,
2002-07-15,EUR,ECB,0.008604,
2002-07-16,EUR,ECB,0.008534,
2002-07-17,EUR,ECB,0.008519,
2002-07-18,EUR,ECB,0.008496,
2002-07-19,EUR,ECB,0.008493,
2002-07-22,EUR,ECB,0.008523,
2002-07-23,EUR,ECB,0.008593,
2002-07-24,EUR,ECB,0.008642,
