date,to_curr,provider,rate,markup
2003-01-02,EUR,ECB,0.0008024,
2003-01-03,EUR,ECB,0.0008039,
2003-01-06,EUR,ECB,0.0008019,
2003-01-07,EUR,ECB,0.0008108,
2003-01-08,EUR,ECB,0.0008139,
2003-01-09,EUR,ECB,0.0008076,
2003-01-10,EUR,ECB,0.0008077,
2003-01-13,EUR,ECB,0.0008061,
2003-01-14,EUR,ECB,0.0008074,
2003-01-15,EUR,ECB,0.0008083,
2003-01-16,EUR,ECB,0.0008084,
2003-01-17,EUR,ECB,0.0008001,
2003-01-20,EUR,ECB,0.0007994,
2003-01-21,EUR,ECB,0.0007954,
2003-01-22,EUR,ECB,0.0007928,
2003-01-23,EUR,ECB,0.0007908,
2003-01-24,EUR,ECB,0.0007946,
2003-01-27,EUR,ECB,0.0007858,
2003-01-28,EUR,ECB,0.0007864,
2003-01-29,EUR,ECB,0.0007878,
2003-01-30,EUR,ECB,0.0007993,
2003-01-31,EUR,ECB,0.0007902,
2003-02-03,EUR,ECB,0.0007909,
2003-02-04,EUR,ECB,0.0007848,
2003-02-05,EUR,ECB,0.0007806,
2003-02-06,EUR,ECB,0.0007861,
2003-02-07,EUR,ECB,0.0007827,
2003-02-10,EUR,ECB,0.0007759,
2003-02-11,EUR,ECB,0.0007751,
2003-02-12,EUR,ECB,0.000777,
2003-02-13,EUR,ECB,0.0007727,
2003-02-14,EUR,ECB,0.0007698,
2003-02-17,EUR,ECB,0.000773,
2003-02-18,EUR,ECB,0.0007777,
2003-02-19,EUR,ECB,0.0007756,
2003-02-20,EUR,ECB,0.0007812,
2003-02-21,EUR,ECB,0.0007741,
2003-02-24,EUR,ECB,0.0007838,
2003-02-25,EUR,ECB,0.0007874,
2003-02-26,EUR,ECB,0.0007848,
2003-02-27,EUR,ECB,0.0007808,
2003-02-28,EUR,ECB,0.0007774,
2003-03-03,EUR,ECB,0.0007807,
2003-03-04,EUR,ECB,0.0007696,
2003-03-05,EUR,ECB,0.0007605,
2003-03-06,EUR,ECB,0.0007535,
2003-03-07,EUR,ECB,0.0007433,
2003-03-10,EUR,ECB,0.0007311,
2003-03-11,EUR,ECB,0.0007341,
2003-03-12,EUR,ECB,0.000729,
2003-03-13,EUR,ECB,0.0007423,
2003-03-14,EUR,ECB,0.0007476,
2003-03-17,EUR,ECB,0.0007428,
2003-03-18,EUR,ECB,0.0007534,
2003-03-19,EUR,ECB,0.0007526,
2003-03-20,EUR,ECB,0.0007578,
2003-03-21,EUR,ECB,0.0007581,
2003-03-24,EUR,ECB,0.0007517,
2003-03-25,EUR,ECB,0.0007481,
2003-03-26,EUR,ECB,0.0007534,
2003-03-27,EUR,ECB,0.000748,
2003-03-28,EUR,ECB,0.0007402,
2003-03-31,EUR,ECB,0.0007316,
2003-04-01,EUR,ECB,0.0007307,
2003-04-02,EUR,ECB,0.0007363,
2003-04-03,EUR,ECB,0.0007446,
2003-04-04,EUR,ECB,0.0007415,
2003-04-07,EUR,ECB,0.0007514,
2003-04-08,EUR,ECB,0.0007484,
2003-04-09,EUR,ECB,0.0007449,
2003-04-10,EUR,ECB,0.0007526,
2003-04-11,EUR,ECB,0.0007576,
2003-04-14,EUR,ECB,0.0007609,
2003-04-15,EUR,ECB,0.0007617,
2003-04-16,EUR,ECB,0.0007608,
2003-04-17,EUR,ECB,0.0007591,
2003-04-22,EUR,ECB,0.0007453,
2003-04-23,EUR,ECB,0.0007496,
2003-04-24,EUR,ECB,0.0007443,
2003-04-25,EUR,ECB,0.0007362,
2003-04-28,EUR,ECB,0.0007418,
2003-04-29,EUR,ECB,0.0007497,
