date,to_curr,provider,rate,markup
2014-01-02,EUR,ECB,0.05575,
2014-01-03,EUR,ECB,0.05611,
2014-01-06,EUR,ECB,0.05601,
2014-01-07,EUR,ECB,0.05615,
2014-01-08,EUR,ECB,0.05648,
2014-01-09,EUR,ECB,0.05598,
2014-01-10,EUR,ECB,0.05627,
2014-01-13,EUR,ECB,0.05629,
2014-01-14,EUR,ECB,0.05582,
2014-01-15,EUR,ECB,0.05604,
2014-01-16,EUR,ECB,0.05542,
2014-01-17,EUR,ECB,0.05528,
2014-01-20,EUR,ECB,0.0557,
2014-01-21,EUR,ECB,0.05554,
2014-01-22,EUR,ECB,0.05542,
2014-01-23,EUR,ECB,0.0549,
2014-01-24,EUR,ECB,0.05418,
2014-01-27,EUR,ECB,0.05466,
2014-01-28,EUR,ECB,0.05512,
2014-01-29,EUR,ECB,0.0552,
2014-01-30,EUR,ECB,0.05521,
2014-01-31,EUR,ECB,0.05506,
2014-02-03,EUR,ECB,0.05559,
2014-02-04,EUR,ECB,0.05521,
2014-02-05,EUR,ECB,0.05536,
2014-02-06,EUR,ECB,0.05593,
2014-02-07,EUR,ECB,0.05521,
2014-02-10,EUR,ECB,0.05514,
2014-02-11,EUR,ECB,0.05507,
2014-02-12,EUR,ECB,0.05536,
2014-02-13,EUR,ECB,0.05473,
2014-02-14,EUR,ECB,0.05504,
2014-02-17,EUR,ECB,0.0552,
2014-02-18,EUR,ECB,0.05514,
2014-02-19,EUR,ECB,0.0548,
2014-02-20,EUR,ECB,0.05473,
2014-02-21,EUR,ECB,0.05484,
2014-02-24,EUR,ECB,0.05491,
2014-02-25,EUR,ECB,0.05485,
2014-02-26,EUR,ECB,0.05495,
2014-02-27,EUR,ECB,0.05492,
2014-02-28,EUR,ECB,0.05462,
2014-03-03,EUR,ECB,0.05465,
2014-03-04,EUR,ECB,0.05465,
2014-03-05,EUR,ECB,0.05496,
2014-03-06,EUR,ECB,0.05515,
2014-03-07,EUR,ECB,0.05466,
2014-03-10,EUR,ECB,0.05463,
2014-03-11,EUR,ECB,0.05457,
2014-03-12,EUR,ECB,0.05423,
2014-03-13,EUR,ECB,0.05438,
2014-03-14,EUR,ECB,0.05418,
2014-03-17,EUR,ECB,0.05443,
2014-03-18,EUR,ECB,0.05454,
2014-03-19,EUR,ECB,0.05463,
2014-03-20,EUR,ECB,0.0547,
2014-03-21,EUR,ECB,0.05474,
2014-03-24,EUR,ECB,0.05503,
2014-03-25,EUR,ECB,0.05517,
2014-03-26,EUR,ECB,0.05525,
2014-03-27,EUR,ECB,0.05543,
2014-03-28,EUR,ECB,0.05558,
2014-03-31,EUR,ECB,0.05551,
2014-04-01,EUR,ECB,0.05547,
2014-04-02,EUR,ECB,0.0555,
2014-04-03,EUR,ECB,0.05537,
2014-04-04,EUR,ECB,0.05568,
2014-04-07,EUR,ECB,0.05585,
2014-04-08,EUR,ECB,0.056,
2014-04-09,EUR,ECB,0.05555,
2014-04-10,EUR,ECB,0.05551,
2014-04-11,EUR,ECB,0.05505,
2014-04-14,EUR,ECB,0.0554,
2014-04-15,EUR,ECB,0.05555,
2014-04-16,EUR,ECB,0.05535,
2014-04-17,EUR,ECB,0.05525,
2014-04-22,EUR,ECB,0.05549,
2014-04-23,EUR,ECB,0.05531,
2014-04-24,EUR,ECB,0.05536,
2014-04-25,EUR,ECB,0.05508,
2014-04-28,EUR,ECB,0.055,
2014-04-29,EUR,ECB,0.05528,
2014-04-30,EUR,ECB,0.05509,
2014-05-02,EUR,ECB,0.05536,
2014-05-05,EUR,ECB,0.05527,
2014-05-06,EUR,ECB,0.05504,
2014-05-07,EUR,ECB,0.05515,
2014-05-08,EUR,ECB,0.05529,
2014-05-09,EUR,ECB,0.05597,
2014-05-12,EUR,ECB,0.05614,
2014-05-13,EUR,ECB,0.05644,
2014-05-14,EUR,ECB,0.05639,
2014-05-15,EUR,ECB,0.05668,
2014-05-16,EUR,ECB,0.05639,
2014-05-19,EUR,ECB,0.05645,
2014-05-20,EUR,ECB,0.05642,
2014-05-21,EUR,ECB,0.05664,
2014-05-22,EUR,ECB,0.05658,
2014-05-23,EUR,ECB,0.0569,
2014-05-26,EUR,ECB,0.05704,
2014-05-27,EUR,ECB,0.05692,
2014-05-28,EUR,ECB,0.05705,
2014-05-29,EUR,ECB,0.05714,
2014-05-30,EUR,ECB,0.0572,
2014-06-02,EUR,ECB,0.05706,
2014-06-03,EUR,ECB,0.0567,
2014-06-04,EUR,ECB,0.05668,
2014-06-05,EUR,ECB,0.05716,
2014-06-06,EUR,ECB,0.05701,
2014-06-09,EUR,ECB,0.05683,
2014-06-10,EUR,ECB,0.0566,
2014-06-11,EUR,ECB,0.05661,
2014-06-12,EUR,ECB,0.05689,
2014-06-13,EUR,ECB,0.0568,
2014-06-16,EUR,ECB,0.05666,
2014-06-17,EUR,ECB,0.05653,
2014-06-18,EUR,ECB,0.05633,
2014-06-19,EUR,ECB,0.05657,
2014-06-20,EUR,ECB,0.05657,
2014-06-23,EUR,ECB,0.05666,
2014-06-24,EUR,ECB,0.0564,
2014-06-25,EUR,ECB,0.05628,
2014-06-26,EUR,ECB,0.05644,
2014-06-27,EUR,ECB,0.05647,
2014-06-30,EUR,ECB,0.05646,
2014-07-01,EUR,ECB,0.05626,
2014-07-02,EUR,ECB,0.05657,
2014-07-03,EUR,ECB,0.05638,
2014-07-04,EUR,ECB,0.05673,
2014-07-07,EUR,ECB,0.05668,
2014-07-08,EUR,ECB,0.05663,
2014-07-09,EUR,ECB,0.05655,
2014-07-10,EUR,ECB,0.05648,
2014-07-11,EUR,ECB,0.05659,
2014-07-14,EUR,ECB,0.05651,
2014-07-15,EUR,ECB,0.05665,
2014-07-16,EUR,ECB,0.05708,
2014-07-17,EUR,ECB,0.05713,
2014-07-18,EUR,ECB,0.05708,
2014-07-21,EUR,ECB,0.05702,
2014-07-22,EUR,ECB,0.05717,
2014-07-23,EUR,ECB,0.05741,
2014-07-24,EUR,ECB,0.05735,
2014-07-25,EUR,ECB,0.05742,
2014-07-28,EUR,ECB,0.05744,
