date,to_curr,provider,rate,markup
2008-01-02,EUR,ECB,0.2057,
2008-01-03,EUR,ECB,0.2061,
2008-01-04,EUR,ECB,0.2068,
2008-01-07,EUR,ECB,0.207,
2008-01-08,EUR,ECB,0.2079,
2008-01-09,EUR,ECB,0.2086,
2008-01-10,EUR,ECB,0.2087,
2008-01-11,EUR,ECB,0.2074,
2008-01-14,EUR,ECB,0.2064,
2008-01-15,EUR,ECB,0.2063,
2008-01-16,EUR,ECB,0.2068,
2008-01-17,EUR,ECB,0.2077,
2008-01-18,EUR,ECB,0.2083,
2008-01-21,EUR,ECB,0.2097,
2008-01-22,EUR,ECB,0.2094,
2008-01-23,EUR,ECB,0.209,
2008-01-24,EUR,ECB,0.2084,
2008-01-25,EUR,ECB,0.2098,
2008-01-28,EUR,ECB,0.2091,
2008-01-29,EUR,ECB,0.2091,
2008-01-30,EUR,ECB,0.2087,
2008-01-31,EUR,ECB,0.2078,
2008-02-01,EUR,ECB,0.2076,
2008-02-04,EUR,ECB,0.2088,
2008-02-05,EUR,ECB,0.211,
2008-02-06,EUR,ECB,0.2116,
2008-02-07,EUR,ECB,0.212,
2008-02-08,EUR,ECB,0.2132,
2008-02-11,EUR,ECB,0.212,
2008-02-12,EUR,ECB,0.2123,
2008-02-13,EUR,ECB,0.2117,
2008-02-14,EUR,ECB,0.2114,
2008-02-15,EUR,ECB,0.2115,
2008-02-18,EUR,ECB,0.2121,
2008-02-19,EUR,ECB,0.2105,
2008-02-20,EUR,ECB,0.2116,
2008-02-21,EUR,ECB,0.2107,
2008-02-22,EUR,ECB,0.2094,
2008-02-25,EUR,ECB,0.2099,
2008-02-26,EUR,ECB,0.2092,
2008-02-27,EUR,ECB,0.2075,
2008-02-28,EUR,ECB,0.2065,
2008-02-29,EUR,ECB,0.2064,
2008-03-03,EUR,ECB,0.2056,
2008-03-04,EUR,ECB,0.2065,
2008-03-05,EUR,ECB,0.2067,
2008-03-06,EUR,ECB,0.2062,
2008-03-07,EUR,ECB,0.2048,
2008-03-10,EUR,ECB,0.2037,
2008-03-11,EUR,ECB,0.2031,
2008-03-12,EUR,ECB,0.2029,
