date,to_curr,provider,rate,markup
2002-01-02,EUR,ECB,0.1248,
2002-01-03,EUR,ECB,0.1248,
2002-01-04,EUR,ECB,0.1252,
2002-01-07,EUR,ECB,0.1254,
2002-01-08,EUR,ECB,0.1257,
2002-01-09,EUR,ECB,0.1258,
2002-01-10,EUR,ECB,0.1258,
2002-01-11,EUR,ECB,0.1258,
2002-01-14,EUR,ECB,0.1259,
2002-01-15,EUR,ECB,0.1258,
2002-01-16,EUR,ECB,0.1264,
2002-01-17,EUR,ECB,0.1266,
2002-01-18,EUR,ECB,0.1264,
2002-01-21,EUR,ECB,0.1264,
2002-01-22,EUR,ECB,0.1265,
2002-01-23,EUR,ECB,0.1262,
2002-01-24,EUR,ECB,0.127,
2002-01-25,EUR,ECB,0.1273,
2002-01-28,EUR,ECB,0.1276,
2002-01-29,EUR,ECB,0.1275,
2002-01-30,EUR,ECB,0.1273,
2002-01-31,EUR,ECB,0.1275,
2002-02-01,EUR,ECB,0.1275,
2002-02-04,EUR,ECB,0.1276,
2002-02-05,EUR,ECB,0.1273,
2002-02-06,EUR,ECB,0.1277,
2002-02-07,EUR,ECB,0.1282,
2002-02-08,EUR,ECB,0.1277,
2002-02-11,EUR,ECB,0.1276,
2002-02-12,EUR,ECB,0.1277,
2002-02-13,EUR,ECB,0.1278,
2002-02-14,EUR,ECB,0.1285,
2002-02-15,EUR,ECB,0.1288,
2002-02-18,EUR,ECB,0.1291,
2002-02-19,EUR,ECB,0.1291,
2002-02-20,EUR,ECB,0.1288,
2002-02-21,EUR,ECB,0.1292,
2002-02-22,EUR,ECB,0.1288,
2002-02-25,EUR,ECB,0.129,
2002-02-26,EUR,ECB,0.1293,
2002-02-27,EUR,ECB,0.1297,
2002-02-28,EUR,ECB,0.1297,
2002-03-01,EUR,ECB,0.1298,
2002-03-04,EUR,ECB,0.13,
2002-03-05,EUR,ECB,0.1301,
2002-03-06,EUR,ECB,0.1298,
2002-03-07,EUR,ECB,0.1297,
2002-03-08,EUR,ECB,0.1295,
2002-03-11,EUR,ECB,0.1294,
2002-03-12,EUR,ECB,0.1296,
2002-03-13,EUR,ECB,0.1291,
2002-03-14,EUR,ECB,0.1288,
2002-03-15,EUR,ECB,0.1287,
2002-03-18,EUR,ECB,0.1291,
2002-03-19,EUR,ECB,0.1292,
2002-03-20,EUR,ECB,0.1296,
2002-03-21,EUR,ECB,0.1299,
2002-03-22,EUR,ECB,0.13,
2002-03-25,EUR,ECB,0.1298,
2002-03-26,EUR,ECB,0.1297,
2002-03-27,EUR,ECB,0.1297,
2002-03-28,EUR,ECB,0.1298,
2002-04-02,EUR,ECB,0.1299,
2002-04-03,EUR,ECB,0.1304,
2002-04-04,EUR,ECB,0.1308,
2002-04-05,EUR,ECB,0.1308,
2002-04-08,EUR,ECB,0.131,
2002-04-09,EUR,ECB,0.131,
2002-04-10,EUR,ECB,0.1309,
2002-04-11,EUR,ECB,0.1312,
2002-04-12,EUR,ECB,0.1312,
2002-04-15,EUR,ECB,0.1313,
2002-04-16,EUR,ECB,0.131,
2002-04-17,EUR,ECB,0.1309,
2002-04-18,EUR,ECB,0.131,
2002-04-19,EUR,ECB,0.1315,
2002-04-22,EUR,ECB,0.1314,
2002-04-23,EUR,ECB,0.1317,
2002-04-24,EUR,ECB,0.1312,
2002-04-25,EUR,ECB,0.1318,
2002-04-26,EUR,ECB,0.132,
2002-04-29,EUR,ECB,0.132,
2002-04-30,EUR,ECB,0.132,
2002-05-02,EUR,ECB,0.1323,
2002-05-03,EUR,ECB,0.1322,
2002-05-06,EUR,ECB,0.1318,
2002-05-07,EUR,ECB,0.1312,
2002-05-08,EUR,ECB,0.1319,
2002-05-09,EUR,ECB,0.1319,
2002-05-10,EUR,ECB,0.1322,
2002-05-13,EUR,ECB,0.1325,
2002-05-14,EUR,ECB,0.1325,
2002-05-15,EUR,ECB,0.1327,
2002-05-16,EUR,ECB,0.1326,
2002-05-17,EUR,ECB,0.1325,
2002-05-20,EUR,ECB,0.1324,
2002-05-21,EUR,ECB,0.1327,
2002-05-22,EUR,ECB,0.1332,
2002-05-23,EUR,ECB,0.1336,
2002-05-24,EUR,ECB,0.1343,
2002-05-27,EUR,ECB,0.1344,
2002-05-28,EUR,ECB,0.1351,
2002-05-29,EUR,ECB,0.135,
2002-05-30,EUR,ECB,0.1345,
2002-05-31,EUR,ECB,0.1337,
2002-06-03,EUR,ECB,0.1344,
2002-06-04,EUR,ECB,0.1343,
2002-06-05,EUR,ECB,0.1351,
2002-06-06,EUR,ECB,0.1353,
2002-06-07,EUR,ECB,0.1344,
2002-06-10,EUR,ECB,0.1347,
2002-06-11,EUR,ECB,0.1347,
2002-06-12,EUR,ECB,0.1349,
2002-06-13,EUR,ECB,0.1349,
2002-06-14,EUR,ECB,0.1349,
2002-06-17,EUR,ECB,0.1349,
2002-06-18,EUR,ECB,0.1348,
2002-06-19,EUR,ECB,0.1356,
2002-06-20,EUR,ECB,0.136,
2002-06-21,EUR,ECB,0.1356,
2002-06-24,EUR,ECB,0.1351,
2002-06-25,EUR,ECB,0.1361,
2002-06-26,EUR,ECB,0.1358,
2002-06-27,EUR,ECB,0.1352,
2002-06-28,EUR,ECB,0.1346,
2002-07-01,EUR,ECB,0.1349,
2002-07-02,EUR,ECB,0.136,
2002-07-03,EUR,ECB,0.1362,
2002-07-04,EUR,ECB,0.1366,
2002-07-05,EUR,ECB,0.1369,
2002-07-08,EUR,ECB,0.1369,
2002-07-09,EUR,ECB,0.1368,
2002-07-10,EUR,ECB,0.1371,
2002-07-11,EUR,ECB,0.1373,
2002-07-12,EUR,ECB,0.1364,
2002-07-15,EUR,ECB,0.1359,
2002-07-16,EUR,ECB,0.1356,
2002-07-17,EUR,ECB,0.1355,
2002-07-18,EUR,ECB,0.1355,
2002-07-19,EUR,ECB,0.1344,
2002-07-22,EUR,ECB,0.1337,
2002-07-23,EUR,ECB,0.1325,
2002-07-24,EUR,ECB,0.1325,
2002-07-25,EUR,ECB,0.1325,
2002-07-26,EUR,ECB,0.1322,
2002-07-29,EUR,ECB,0.1332,
2002-07-30,EUR,ECB,0.1332,
2002-07-31,EUR,ECB,0.1346,
2002-08-01,EUR,ECB,0.1342,
2002-08-02,EUR,ECB,0.1332,
2002-08-05,EUR,ECB,0.1328,
2002-08-06,EUR,ECB,0.1333,
2002-08-07,EUR,ECB,0.1332,
2002-08-08,EUR,ECB,0.1337,
2002-08-09,EUR,ECB,0.134,
2002-08-12,EUR,ECB,0.1339,
2002-08-13,EUR,ECB,0.1342,
2002-08-14,EUR,ECB,0.1343,
2002-08-15,EUR,ECB,0.1346,
2002-08-16,EUR,ECB,0.1356,
2002-08-19,EUR,ECB,0.1355,
2002-08-20,EUR,ECB,0.136,
2002-08-21,EUR,ECB,0.1359,
2002-08-22,EUR,ECB,0.1352,
2002-08-23,EUR,ECB,0.135,
2002-08-26,EUR,ECB,0.1353,
2002-08-27,EUR,ECB,0.1355,
2002-08-28,EUR,ECB,0.1355,
2002-08-29,EUR,ECB,0.1352,
2002-08-30,EUR,ECB,0.1355,
2002-09-02,EUR,ECB,0.1353,
2002-09-03,EUR,ECB,0.1345,
2002-09-04,EUR,ECB,0.1344,
2002-09-05,EUR,ECB,0.1355,
2002-09-06,EUR,ECB,0.136,
2002-09-09,EUR,ECB,0.1359,
2002-09-10,EUR,ECB,0.1353,
2002-09-11,EUR,ECB,0.1355,
2002-09-12,EUR,ECB,0.1357,
2002-09-13,EUR,ECB,0.1359,
2002-09-16,EUR,ECB,0.1362,
2002-09-17,EUR,ECB,0.1359,
2002-09-18,EUR,ECB,0.1358,
2002-09-19,EUR,ECB,0.1365,
