date,to_curr,provider,rate,markup
2003-01-02,EUR,ECB,0.5015,
2003-01-03,EUR,ECB,0.5045,
2003-01-06,EUR,ECB,0.5067,
2003-01-07,EUR,ECB,0.5094,
2003-01-08,EUR,ECB,0.5098,
2003-01-09,EUR,ECB,0.508,
2003-01-10,EUR,ECB,0.5099,
2003-01-13,EUR,ECB,0.51,
2003-01-14,EUR,ECB,0.5099,
2003-01-15,EUR,ECB,0.5097,
2003-01-16,EUR,ECB,0.5139,
2003-01-17,EUR,ECB,0.5177,
2003-01-20,EUR,ECB,0.5164,
2003-01-21,EUR,ECB,0.5138,
2003-01-22,EUR,ECB,0.5079,
2003-01-23,EUR,ECB,0.5099,
2003-01-24,EUR,ECB,0.5088,
2003-01-27,EUR,ECB,0.5056,
2003-01-28,EUR,ECB,0.5052,
2003-01-29,EUR,ECB,0.5057,
2003-01-30,EUR,ECB,0.5088,
2003-01-31,EUR,ECB,0.5045,
2003-02-03,EUR,ECB,0.5053,
2003-02-04,EUR,ECB,0.5067,
2003-02-05,EUR,ECB,0.5047,
2003-02-06,EUR,ECB,0.5066,
2003-02-07,EUR,ECB,0.5076,
2003-02-10,EUR,ECB,0.5107,
2003-02-11,EUR,ECB,0.5122,
2003-02-12,EUR,ECB,0.5141,
2003-02-13,EUR,ECB,0.5111,
2003-02-14,EUR,ECB,0.5115,
2003-02-17,EUR,ECB,0.5127,
2003-02-18,EUR,ECB,0.514,
2003-02-19,EUR,ECB,0.5155,
2003-02-20,EUR,ECB,0.5153,
2003-02-21,EUR,ECB,0.5169,
2003-02-24,EUR,ECB,0.526,
2003-02-25,EUR,ECB,0.5253,
2003-02-26,EUR,ECB,0.524,
2003-02-27,EUR,ECB,0.5227,
2003-02-28,EUR,ECB,0.5178,
2003-03-03,EUR,ECB,0.5181,
2003-03-04,EUR,ECB,0.515,
2003-03-05,EUR,ECB,0.514,
2003-03-06,EUR,ECB,0.5152,
2003-03-07,EUR,ECB,0.5129,
2003-03-10,EUR,ECB,0.5091,
2003-03-11,EUR,ECB,0.5035,
2003-03-12,EUR,ECB,0.4986,
2003-03-13,EUR,ECB,0.5029,
2003-03-14,EUR,ECB,0.5089,
2003-03-17,EUR,ECB,0.5121,
2003-03-18,EUR,ECB,0.5145,
2003-03-19,EUR,ECB,0.5205,
2003-03-20,EUR,ECB,0.5221,
2003-03-21,EUR,ECB,0.5211,
2003-03-24,EUR,ECB,0.5182,
2003-03-25,EUR,ECB,0.5178,
2003-03-26,EUR,ECB,0.5152,
2003-03-27,EUR,ECB,0.5126,
2003-03-28,EUR,ECB,0.513,
2003-03-31,EUR,ECB,0.5071,
2003-04-01,EUR,ECB,0.5078,
2003-04-02,EUR,ECB,0.508,
2003-04-03,EUR,ECB,0.5106,
2003-04-04,EUR,ECB,0.5075,
2003-04-07,EUR,ECB,0.5053,
2003-04-08,EUR,ECB,0.51,
2003-04-09,EUR,ECB,0.5085,
2003-04-10,EUR,ECB,0.5066,
2003-04-11,EUR,ECB,0.5073,
2003-04-14,EUR,ECB,0.5075,
2003-04-15,EUR,ECB,0.5075,
2003-04-16,EUR,ECB,0.5143,
2003-04-17,EUR,ECB,0.5084,
2003-04-22,EUR,ECB,0.5111,
2003-04-23,EUR,ECB,0.51,
2003-04-24,EUR,ECB,0.5031,
2003-04-25,EUR,ECB,0.5045,
2003-04-28,EUR,ECB,0.5057,
2003-04-29,EUR,ECB,0.5067,
2003-04-30,EUR,ECB,0.5025,
2003-05-02,EUR,ECB,0.5002,
2003-05-05,EUR,ECB,0.5028,
2003-05-06,EUR,ECB,0.5006,
2003-05-07,EUR,ECB,0.5011,
2003-05-08,EUR,ECB,0.5012,
2003-05-09,EUR,ECB,0.5021,
2003-05-12,EUR,ECB,0.5009,
2003-05-13,EUR,ECB,0.5002,
2003-05-14,EUR,ECB,0.4995,
2003-05-15,EUR,ECB,0.5008,
2003-05-16,EUR,ECB,0.503,
2003-05-19,EUR,ECB,0.5009,
2003-05-20,EUR,ECB,0.5013,
2003-05-21,EUR,ECB,0.4999,
2003-05-22,EUR,ECB,0.4963,
2003-05-23,EUR,ECB,0.4956,
2003-05-26,EUR,ECB,0.494,
2003-05-27,EUR,ECB,0.4918,
2003-05-28,EUR,ECB,0.4909,
2003-05-29,EUR,ECB,0.4867,
2003-05-30,EUR,ECB,0.4878,
2003-06-02,EUR,ECB,0.4932,
2003-06-03,EUR,ECB,0.4945,
2003-06-04,EUR,ECB,0.4982,
2003-06-05,EUR,ECB,0.4905,
2003-06-06,EUR,ECB,0.4889,
2003-06-09,EUR,ECB,0.4916,
2003-06-10,EUR,ECB,0.4917,
2003-06-11,EUR,ECB,0.4917,
2003-06-12,EUR,ECB,0.4926,
2003-06-13,EUR,ECB,0.4923,
2003-06-16,EUR,ECB,0.4921,
2003-06-17,EUR,ECB,0.4949,
2003-06-18,EUR,ECB,0.4994,
2003-06-19,EUR,ECB,0.5008,
2003-06-20,EUR,ECB,0.5023,
2003-06-23,EUR,ECB,0.5074,
2003-06-24,EUR,ECB,0.5069,
2003-06-25,EUR,ECB,0.5074,
2003-06-26,EUR,ECB,0.5097,
2003-06-27,EUR,ECB,0.509,
2003-06-30,EUR,ECB,0.511,
2003-07-01,EUR,ECB,0.5148,
2003-07-02,EUR,ECB,0.5139,
2003-07-03,EUR,ECB,0.5183,
2003-07-04,EUR,ECB,0.5194,
2003-07-07,EUR,ECB,0.5268,
2003-07-08,EUR,ECB,0.5237,
2003-07-09,EUR,ECB,0.5199,
2003-07-10,EUR,ECB,0.515,
2003-07-11,EUR,ECB,0.5211,
2003-07-14,EUR,ECB,0.5224,
2003-07-15,EUR,ECB,0.5189,
2003-07-16,EUR,ECB,0.5202,
2003-07-17,EUR,ECB,0.5207,
2003-07-18,EUR,ECB,0.5131,
2003-07-21,EUR,ECB,0.5077,
2003-07-22,EUR,ECB,0.5086,
2003-07-23,EUR,ECB,0.5072,
2003-07-24,EUR,ECB,0.5113,
2003-07-25,EUR,ECB,0.511,
2003-07-28,EUR,ECB,0.5122,
2003-07-29,EUR,ECB,0.5144,
2003-07-30,EUR,ECB,0.5121,
2003-07-31,EUR,ECB,0.5123,
2003-08-01,EUR,ECB,0.5182,
2003-08-04,EUR,ECB,0.5171,
2003-08-05,EUR,ECB,0.5111,
2003-08-06,EUR,ECB,0.509,
2003-08-07,EUR,ECB,0.5091,
2003-08-08,EUR,ECB,0.5141,
2003-08-11,EUR,ECB,0.5186,
2003-08-12,EUR,ECB,0.5191,
2003-08-13,EUR,ECB,0.5194,
2003-08-14,EUR,ECB,0.5212,
2003-08-15,EUR,ECB,0.5235,
2003-08-18,EUR,ECB,0.5268,
2003-08-19,EUR,ECB,0.5275,
2003-08-20,EUR,ECB,0.5289,
2003-08-21,EUR,ECB,0.5348,
2003-08-22,EUR,ECB,0.5337,
2003-08-25,EUR,ECB,0.5368,
2003-08-26,EUR,ECB,0.5311,
2003-08-27,EUR,ECB,0.5239,
2003-08-28,EUR,ECB,0.5264,
2003-08-29,EUR,ECB,0.5259,
2003-09-01,EUR,ECB,0.5259,
2003-09-02,EUR,ECB,0.5259,
2003-09-03,EUR,ECB,0.5241,
2003-09-04,EUR,ECB,0.5247,
2003-09-05,EUR,ECB,0.523,
2003-09-08,EUR,ECB,0.5205,
2003-09-09,EUR,ECB,0.5208,
2003-09-10,EUR,ECB,0.5213,
2003-09-11,EUR,ECB,0.5186,
2003-09-12,EUR,ECB,0.5195,
2003-09-15,EUR,ECB,0.5186,
2003-09-16,EUR,ECB,0.5215,
2003-09-17,EUR,ECB,0.5213,
2003-09-18,EUR,ECB,0.517,
2003-09-19,EUR,ECB,0.5203,
2003-09-22,EUR,ECB,0.521,
2003-09-23,EUR,ECB,0.5189,
2003-09-24,EUR,ECB,0.5196,
2003-09-25,EUR,ECB,0.5206,
2003-09-26,EUR,ECB,0.513,
2003-09-29,EUR,ECB,0.5147,
2003-09-30,EUR,ECB,0.5118,
2003-10-01,EUR,ECB,0.5107,
2003-10-02,EUR,ECB,0.5108,
2003-10-03,EUR,ECB,0.5108,
2003-10-06,EUR,ECB,0.5134,
2003-10-07,EUR,ECB,0.5078,
2003-10-08,EUR,ECB,0.5075,
2003-10-09,EUR,ECB,0.5103,
2003-10-10,EUR,ECB,0.5088,
2003-10-13,EUR,ECB,0.5117,
2003-10-14,EUR,ECB,0.5105,
2003-10-15,EUR,ECB,0.5089,
2003-10-16,EUR,ECB,0.5123,
