date,to_curr,provider,rate,markup
2026-01-01,EUR,MASTERCARD,0.2539628,
2026-01-01,EUR,VISA,0.2538266036,0
2026-01-01,GBP,MASTERCARD,0.2221202,
2026-01-01,GBP,VISA,0.2220011917,0
2026-01-01,INR,MASTERCARD,26.7723214,
2026-01-01,INR,VISA,26.7775923553,0
2026-01-01,USD,MASTERCARD,0.297619,
2026-01-01,USD,VISA,0.2974596942,0
2026-01-02,EUR,MASTERCARD,0.2543493,
2026-01-02,EUR,VISA,0.2538266036,0
2026-01-02,GBP,MASTERCARD,0.2217957,
2026-01-02,GBP,VISA,0.2220011917,0
2026-01-02,INR,MASTERCARD,26.8748327,
2026-01-02,INR,VISA,26.7775923553,0
2026-01-02,USD,MASTERCARD,0.2978939,
2026-01-02,USD,VISA,0.2974596942,0
2026-01-03,EUR,MASTERCARD,0.2543493,
2026-01-03,EUR,VISA,0.2542505756,0
2026-01-03,GBP,MASTERCARD,0.2217957,
2026-01-03,GBP,VISA,0.2217096822,0
2026-01-03,INR,MASTERCARD,26.8748327,
2026-01-03,INR,VISA,26.877467018,0
2026-01-03,USD,MASTERCARD,0.2978939,
2026-01-03,USD,VISA,0.2977785719,0
2026-01-04,EUR,MASTERCARD,0.2543493,
2026-01-04,EUR,VISA,0.2542505756,0
2026-01-04,GBP,MASTERCARD,0.2217957,
2026-01-04,GBP,VISA,0.2217096822,0
2026-01-04,INR,MASTERCARD,26.8748327,
2026-01-04,INR,VISA,26.877467018,0
2026-01-04,USD,MASTERCARD,0.2978939,
2026-01-04,USD,VISA,0.2977785719,0
2026-01-05,EUR,MASTERCARD,0.2553601,
2026-01-05,EUR,VISA,0.2542505756,0
2026-01-05,GBP,MASTERCARD,0.2219809,
2026-01-05,GBP,VISA,0.2217096822,0
2026-01-05,INR,MASTERCARD,26.8983713,
2026-01-05,INR,VISA,26.877467018,0
2026-01-05,USD,MASTERCARD,0.2976988,
2026-01-05,USD,VISA,0.2977785719,0
2026-01-06,EUR,MASTERCARD,0.2550033,
2026-01-06,EUR,VISA,0.2551319733,0
2026-01-06,GBP,MASTERCARD,0.2208616,
2026-01-06,GBP,VISA,0.2217827563,0
2026-01-06,INR,MASTERCARD,26.8807722,
2026-01-06,INR,VISA,26.8638379822,0
2026-01-06,USD,MASTERCARD,0.2979205,
2026-01-06,USD,VISA,0.2974331519,0
2026-01-07,EUR,MASTERCARD,0.2552274,
2026-01-07,EUR,VISA,0.2547223995,0
2026-01-07,GBP,MASTERCARD,0.2212225,
2026-01-07,GBP,VISA,0.2206184144,0
2026-01-07,INR,MASTERCARD,26.7775759,
2026-01-07,INR,VISA,26.8648363926,0
2026-01-07,USD,MASTERCARD,0.2978761,
2026-01-07,USD,VISA,0.2975924769,0
2026-01-08,EUR,MASTERCARD,0.2554305,
2026-01-08,EUR,VISA,0.2549311964,0
2026-01-08,GBP,MASTERCARD,0.2219114,
2026-01-08,GBP,VISA,0.2211627142,0
2026-01-08,INR,MASTERCARD,26.7954067,
2026-01-08,INR,VISA,26.8491251889,0
2026-01-08,USD,MASTERCARD,0.2976279,
2026-01-08,USD,VISA,0.2975304969,0
2026-01-09,EUR,MASTERCARD,0.2565973,
2026-01-09,EUR,VISA,0.2555282115,0
2026-01-09,GBP,MASTERCARD,0.2226372,
2026-01-09,GBP,VISA,0.2218058036,0
2026-01-09,INR,MASTERCARD,26.9234209,
2026-01-09,INR,VISA,26.8157399554,0
2026-01-09,USD,MASTERCARD,0.2980892,
2026-01-09,USD,VISA,0.2974862413,0
2026-01-10,EUR,MASTERCARD,0.2565973,
2026-01-10,EUR,VISA,0.2562992248,0
2026-01-10,GBP,MASTERCARD,0.2226372,
2026-01-10,GBP,VISA,0.2223786761,0
2026-01-10,INR,MASTERCARD,26.9234209,
2026-01-10,INR,VISA,26.8954057256,0
2026-01-10,USD,MASTERCARD,0.2980892,
2026-01-10,USD,VISA,0.2977431072,0
2026-01-11,EUR,MASTERCARD,0.2565973,
2026-01-11,EUR,VISA,0.2562992248,0
2026-01-11,GBP,MASTERCARD,0.2226372,
2026-01-11,GBP,VISA,0.2223786761,0
2026-01-11,INR,MASTERCARD,26.9234209,
2026-01-11,INR,VISA,26.8954057256,0
2026-01-11,USD,MASTERCARD,0.2980892,
2026-01-11,USD,VISA,0.2977431072,0
2026-01-12,EUR,MASTERCARD,0.2564623,
2026-01-12,EUR,VISA,0.2562992248,0
2026-01-12,GBP,MASTERCARD,0.2226109,
2026-01-12,GBP,VISA,0.2223786761,0
2026-01-12,INR,MASTERCARD,26.8682203,
2026-01-12,INR,VISA,26.8954057256,0
2026-01-12,USD,MASTERCARD,0.2980093,
2026-01-12,USD,VISA,0.2977431072,0
2026-01-13,EUR,MASTERCARD,0.2563284,
2026-01-13,EUR,VISA,0.2560653229,0
2026-01-13,GBP,MASTERCARD,0.2221628,
2026-01-13,GBP,VISA,0.222266307,0
2026-01-13,INR,MASTERCARD,26.9459685,
2026-01-13,INR,VISA,26.8641126279,0
2026-01-13,USD,MASTERCARD,0.298187,
2026-01-13,USD,VISA,0.2975482028,0
2026-01-14,EUR,MASTERCARD,0.256146,
2026-01-14,EUR,VISA,0.2559162327,0
2026-01-14,GBP,MASTERCARD,0.222123,
2026-01-14,GBP,VISA,0.2218716301,0
2026-01-14,INR,MASTERCARD,26.9386417,
2026-01-14,INR,VISA,26.9026226943,0
2026-01-14,USD,MASTERCARD,0.2980004,
2026-01-14,USD,VISA,0.2977076511,0
2026-01-15,EUR,MASTERCARD,0.2569055,
2026-01-15,EUR,VISA,0.2560009342,0
2026-01-15,GBP,MASTERCARD,0.2229247,
2026-01-15,GBP,VISA,0.2219972322,0
2026-01-15,INR,MASTERCARD,26.9352869,
2026-01-15,INR,VISA,26.8949278354,0
2026-01-15,USD,MASTERCARD,0.2978052,
2026-01-15,USD,VISA,0.2978317846,0
2026-01-16,EUR,MASTERCARD,0.2570977,
2026-01-16,EUR,VISA,0.2567831652,0
2026-01-16,GBP,MASTERCARD,0.2228511,
2026-01-16,GBP,VISA,0.2228183585,0
2026-01-16,INR,MASTERCARD,27.0658687,
2026-01-16,INR,VISA,26.8797171305,0
2026-01-16,USD,MASTERCARD,0.2977963,
2026-01-16,USD,VISA,0.2976633428,0
2026-01-17,EUR,MASTERCARD,0.2570977,
2026-01-17,EUR,VISA,0.2569597397,0
2026-01-17,GBP,MASTERCARD,0.2228511,
2026-01-17,GBP,VISA,0.2227317717,0
2026-01-17,INR,MASTERCARD,27.0658687,
2026-01-17,INR,VISA,27.0551548009,0
2026-01-17,USD,MASTERCARD,0.2977963,
2026-01-17,USD,VISA,0.2976367641,0
2026-01-18,EUR,MASTERCARD,0.2570977,
2026-01-18,EUR,VISA,0.2569597397,0
2026-01-18,GBP,VISA,0.2227317717,0
2026-01-18,INR,MASTERCARD,27.0658687,
2026-01-18,INR,VISA,27.0551548009,0
2026-01-18,USD,MASTERCARD,0.2977963,
2026-01-18,USD,VISA,0.2976367641,0
2026-01-19,EUR,MASTERCARD,0.2576167,
2026-01-19,EUR,VISA,0.2569597397,0
2026-01-19,GBP,MASTERCARD,0.2236697,
2026-01-19,GBP,VISA,0.2227317717,0
2026-01-19,INR,VISA,27.0551548009,0
2026-01-19,USD,MASTERCARD,0.2980626,
2026-01-19,USD,VISA,0.2976367641,0
2026-01-20,EUR,MASTERCARD,0.2562274,
2026-01-20,EUR,VISA,0.2573916899,0
2026-01-20,GBP,VISA,0.2233583385,0
2026-01-20,INR,VISA,27.122354355,0
2026-01-20,USD,VISA,0.2979826574,0
2026-01-21,EUR,VISA,0.2561127319,0
2026-01-21,GBP,VISA,0.2222522708,0
2026-01-21,INR,VISA,27.1515963211,0
2026-01-21,USD,VISA,0.2978850164,0
2026-01-22,EUR,VISA,0.2554604886,0
2026-01-22,GBP,VISA,0.222627009,0
2026-01-22,INR,VISA,27.3697751715,0
2026-01-22,USD,VISA,0.2982759649,0
2026-01-23,EUR,VISA,0.2554299323,0
2026-01-23,GBP,VISA,0.2224146605,0
2026-01-23,INR,VISA,27.3261432093,0
2026-01-23,USD,VISA,0.2980359431,0
2026-01-24,EUR,VISA,0.2542509187,0
2026-01-24,GBP,VISA,0.221236219,0
2026-01-24,INR,VISA,27.429234029,0
2026-01-24,USD,VISA,0.2981603506,0
2026-01-25,EUR,VISA,0.2542509187,0
2026-01-25,GBP,VISA,0.221236219,0
2026-01-25,INR,VISA,27.429234029,0
2026-01-25,USD,VISA,0.2981603506,0
2026-01-26,EUR,VISA,0.2542509187,0
2026-01-26,GBP,VISA,0.221236219,0
2026-01-26,INR,VISA,27.429234029,0
2026-01-26,USD,VISA,0.2981603506,0
2026-01-27,EUR,VISA,0.252271674,0
2026-01-27,GBP,VISA,0.2187661201,0
2026-01-27,INR,VISA,27.3979728996,0
2026-01-27,USD,VISA,0.298462916,0
2026-01-28,EUR,VISA,0.2521367806,0
2026-01-28,GBP,VISA,0.2187092763,0
2026-01-28,INR,VISA,27.4560552402,0
2026-01-28,USD,VISA,0.2987571702,0
2026-01-29,EUR,VISA,0.2518690527,0
2026-01-29,GBP,VISA,0.2179371778,0
2026-01-29,INR,VISA,27.512855225,0
2026-01-29,USD,VISA,0.299598538,0
2026-01-30,EUR,VISA,0.2514390277,0
2026-01-30,GBP,VISA,0.2178747817,0
2026-01-30,INR,VISA,27.5406076571,0
2026-01-30,USD,VISA,0.299338462,0
2026-01-31,EUR,VISA,0.2512922225,0
2026-01-31,GBP,VISA,0.2176665449,0
2026-01-31,INR,VISA,27.4003238621,0
2026-01-31,USD,VISA,0.2976810645,0
