date,to_curr,provider,rate,markup
2005-04-01,EUR,ECB,0.0141,
2005-04-04,EUR,ECB,0.01416,
2005-04-05,EUR,ECB,0.01424,
2005-04-06,EUR,ECB,0.01421,
2005-04-07,EUR,ECB,0.0142,
2005-04-08,EUR,ECB,0.01429,
2005-04-11,EUR,ECB,0.0142,
2005-04-12,EUR,ECB,0.01422,
2005-04-13,EUR,ECB,0.01431,
2005-04-14,EUR,ECB,0.01433,
2005-04-15,EUR,ECB,0.01423,
2005-04-18,EUR,ECB,0.0141,
2005-04-19,EUR,ECB,0.01414,
2005-04-20,EUR,ECB,0.01409,
2005-04-21,EUR,ECB,0.01404,
2005-04-22,EUR,ECB,0.01412,
2005-04-25,EUR,ECB,0.01426,
2005-04-26,EUR,ECB,0.01418,
2005-04-27,EUR,ECB,0.01423,
2005-04-28,EUR,ECB,0.01425,
2005-04-29,EUR,ECB,0.01426,
2005-05-02,EUR,ECB,0.01438,
2005-05-03,EUR,ECB,0.01434,
2005-05-04,EUR,ECB,0.01428,
2005-05-05,EUR,ECB,0.01431,
2005-05-06,EUR,ECB,0.0143,
2005-05-09,EUR,ECB,0.01442,
2005-05-10,EUR,ECB,0.01436,
2005-05-11,EUR,ECB,0.01433,
2005-05-12,EUR,ECB,0.01445,
2005-05-13,EUR,ECB,0.0146,
2005-05-16,EUR,ECB,0.01454,
2005-05-17,EUR,ECB,0.01456,
2005-05-18,EUR,ECB,0.01452,
2005-05-19,EUR,ECB,0.01448,
2005-05-20,EUR,ECB,0.01453,
2005-05-23,EUR,ECB,0.01457,
2005-05-24,EUR,ECB,0.01454,
2005-05-25,EUR,ECB,0.01462,
2005-05-26,EUR,ECB,0.01465,
2005-05-27,EUR,ECB,0.01465,
2005-05-30,EUR,ECB,0.01473,
2005-05-31,EUR,ECB,0.01487,
2005-06-01,EUR,ECB,0.01499,
2005-06-02,EUR,ECB,0.01495,
2005-06-03,EUR,ECB,0.01492,
2005-06-06,EUR,ECB,0.01495,
2005-06-07,EUR,ECB,0.01494,
2005-06-08,EUR,ECB,0.01483,
2005-06-09,EUR,ECB,0.01486,
2005-06-10,EUR,ECB,0.01483,
2005-06-13,EUR,ECB,0.01503,
2005-06-14,EUR,ECB,0.01494,
2005-06-15,EUR,ECB,0.01499,
2005-06-16,EUR,ECB,0.01492,
2005-06-17,EUR,ECB,0.0148,
2005-06-20,EUR,ECB,0.0147,
2005-06-21,EUR,ECB,0.01486,
2005-06-22,EUR,ECB,0.01485,
2005-06-23,EUR,ECB,0.01486,
2005-06-24,EUR,ECB,0.01487,
2005-06-27,EUR,ECB,0.01479,
2005-06-28,EUR,ECB,0.01485,
2005-06-29,EUR,ECB,0.01482,
2005-06-30,EUR,ECB,0.01477,
2005-07-01,EUR,ECB,0.01482,
2005-07-04,EUR,ECB,0.01497,
2005-07-05,EUR,ECB,0.01495,
2005-07-06,EUR,ECB,0.01494,
2005-07-07,EUR,ECB,0.0149,
2005-07-08,EUR,ECB,0.01498,
2005-07-11,EUR,ECB,0.01481,
2005-07-12,EUR,ECB,0.01466,
2005-07-13,EUR,ECB,0.01462,
2005-07-14,EUR,ECB,0.01482,
2005-07-15,EUR,ECB,0.01483,
2005-07-18,EUR,ECB,0.01493,
2005-07-19,EUR,ECB,0.01498,
2005-07-20,EUR,ECB,0.01486,
2005-07-21,EUR,ECB,0.01472,
2005-07-22,EUR,ECB,0.01475,
2005-07-25,EUR,ECB,0.01487,
2005-07-26,EUR,ECB,0.01489,
2005-07-27,EUR,ECB,0.01486,
2005-07-28,EUR,ECB,0.01473,
2005-07-29,EUR,ECB,0.01474,
2005-08-01,EUR,ECB,0.01458,
2005-08-02,EUR,ECB,0.01462,
2005-08-03,EUR,ECB,0.01449,
2005-08-04,EUR,ECB,0.01451,
2005-08-05,EUR,ECB,0.01445,
2005-08-08,EUR,ECB,0.01446,
2005-08-09,EUR,ECB,0.01447,
2005-08-10,EUR,ECB,0.01447,
2005-08-11,EUR,ECB,0.01447,
2005-08-12,EUR,ECB,0.01443,
2005-08-15,EUR,ECB,0.01449,
2005-08-16,EUR,ECB,0.01455,
