date,to_curr,provider,rate,markup
2014-01-02,EUR,ECB,0.2398,
2014-01-03,EUR,ECB,0.24,
2014-01-06,EUR,ECB,0.2394,
2014-01-07,EUR,ECB,0.2394,
2014-01-08,EUR,ECB,0.2394,
2014-01-09,EUR,ECB,0.2395,
2014-01-10,EUR,ECB,0.2395,
2014-01-13,EUR,ECB,0.2407,
2014-01-14,EUR,ECB,0.2409,
2014-01-15,EUR,ECB,0.2405,
2014-01-16,EUR,ECB,0.2399,
2014-01-17,EUR,ECB,0.2401,
2014-01-20,EUR,ECB,0.2405,
2014-01-21,EUR,ECB,0.2401,
2014-01-22,EUR,ECB,0.2401,
2014-01-23,EUR,ECB,0.2399,
2014-01-24,EUR,ECB,0.2376,
2014-01-27,EUR,ECB,0.2382,
2014-01-28,EUR,ECB,0.2386,
2014-01-29,EUR,ECB,0.2374,
2014-01-30,EUR,ECB,0.2363,
2014-01-31,EUR,ECB,0.2354,
2014-02-03,EUR,ECB,0.2367,
2014-02-04,EUR,ECB,0.2378,
2014-02-05,EUR,ECB,0.2384,
2014-02-06,EUR,ECB,0.2388,
2014-02-07,EUR,ECB,0.2388,
2014-02-10,EUR,ECB,0.2392,
2014-02-11,EUR,ECB,0.2391,
2014-02-12,EUR,ECB,0.24,
2014-02-13,EUR,ECB,0.24,
2014-02-14,EUR,ECB,0.241,
2014-02-17,EUR,ECB,0.2411,
2014-02-18,EUR,ECB,0.2407,
2014-02-19,EUR,ECB,0.2396,
2014-02-20,EUR,ECB,0.2392,
2014-02-21,EUR,ECB,0.24,
2014-02-24,EUR,ECB,0.2405,
2014-02-25,EUR,ECB,0.2408,
2014-02-26,EUR,ECB,0.2403,
2014-02-27,EUR,ECB,0.2394,
2014-02-28,EUR,ECB,0.2399,
2014-03-03,EUR,ECB,0.2385,
2014-03-04,EUR,ECB,0.2389,
2014-03-05,EUR,ECB,0.2393,
2014-03-06,EUR,ECB,0.239,
2014-03-07,EUR,ECB,0.2385,
2014-03-10,EUR,ECB,0.238,
2014-03-11,EUR,ECB,0.2371,
2014-03-12,EUR,ECB,0.2366,
2014-03-13,EUR,ECB,0.2368,
2014-03-14,EUR,ECB,0.2357,
2014-03-17,EUR,ECB,0.2369,
2014-03-18,EUR,ECB,0.2376,
2014-03-19,EUR,ECB,0.2382,
2014-03-20,EUR,ECB,0.2379,
2014-03-21,EUR,ECB,0.2382,
2014-03-24,EUR,ECB,0.2385,
2014-03-25,EUR,ECB,0.2382,
2014-03-26,EUR,ECB,0.2392,
2014-03-27,EUR,ECB,0.2393,
2014-03-28,EUR,ECB,0.2396,
2014-03-31,EUR,ECB,0.2397,
2014-04-01,EUR,ECB,0.2394,
2014-04-02,EUR,ECB,0.2394,
2014-04-03,EUR,ECB,0.2397,
2014-04-04,EUR,ECB,0.2401,
2014-04-07,EUR,ECB,0.2395,
2014-04-08,EUR,ECB,0.2398,
2014-04-09,EUR,ECB,0.2398,
2014-04-10,EUR,ECB,0.2398,
2014-04-11,EUR,ECB,0.239,
2014-04-14,EUR,ECB,0.2391,
2014-04-15,EUR,ECB,0.2388,
2014-04-16,EUR,ECB,0.2383,
2014-04-17,EUR,ECB,0.2385,
2014-04-22,EUR,ECB,0.2386,
2014-04-23,EUR,ECB,0.2385,
2014-04-24,EUR,ECB,0.2386,
2014-04-25,EUR,ECB,0.2379,
2014-04-28,EUR,ECB,0.2377,
2014-04-29,EUR,ECB,0.2381,
2014-04-30,EUR,ECB,0.238,
2014-05-02,EUR,ECB,0.2379,
2014-05-05,EUR,ECB,0.2376,
2014-05-06,EUR,ECB,0.238,
2014-05-07,EUR,ECB,0.2381,
2014-05-08,EUR,ECB,0.2385,
2014-05-09,EUR,ECB,0.2391,
2014-05-12,EUR,ECB,0.2391,
2014-05-13,EUR,ECB,0.2389,
2014-05-14,EUR,ECB,0.2388,
2014-05-15,EUR,ECB,0.2393,
2014-05-16,EUR,ECB,0.2386,
2014-05-19,EUR,ECB,0.2388,
2014-05-20,EUR,ECB,0.2387,
2014-05-21,EUR,ECB,0.2387,
2014-05-22,EUR,ECB,0.2394,
2014-05-23,EUR,ECB,0.2402,
2014-05-26,EUR,ECB,0.2407,
2014-05-27,EUR,ECB,0.2402,
2014-05-28,EUR,ECB,0.2406,
2014-05-29,EUR,ECB,0.2413,
2014-05-30,EUR,ECB,0.2415,
2014-06-02,EUR,ECB,0.2416,
2014-06-03,EUR,ECB,0.2411,
2014-06-04,EUR,ECB,0.2412,
2014-06-05,EUR,ECB,0.2428,
2014-06-06,EUR,ECB,0.243,
2014-06-09,EUR,ECB,0.2439,
2014-06-10,EUR,ECB,0.2436,
2014-06-11,EUR,ECB,0.2431,
2014-06-12,EUR,ECB,0.2437,
2014-06-13,EUR,ECB,0.2423,
2014-06-16,EUR,ECB,0.2414,
2014-06-17,EUR,ECB,0.2417,
2014-06-18,EUR,ECB,0.2413,
2014-06-19,EUR,ECB,0.242,
2014-06-20,EUR,ECB,0.2403,
2014-06-23,EUR,ECB,0.241,
2014-06-24,EUR,ECB,0.2407,
2014-06-25,EUR,ECB,0.2409,
2014-06-26,EUR,ECB,0.2414,
2014-06-27,EUR,ECB,0.2408,
2014-06-30,EUR,ECB,0.2406,
2014-07-01,EUR,ECB,0.2405,
2014-07-02,EUR,ECB,0.2412,
2014-07-03,EUR,ECB,0.2411,
2014-07-04,EUR,ECB,0.2416,
2014-07-07,EUR,ECB,0.2414,
2014-07-08,EUR,ECB,0.2419,
2014-07-09,EUR,ECB,0.2422,
2014-07-10,EUR,ECB,0.2414,
2014-07-11,EUR,ECB,0.2414,
2014-07-14,EUR,ECB,0.2416,
2014-07-15,EUR,ECB,0.2415,
2014-07-16,EUR,ECB,0.2417,
2014-07-17,EUR,ECB,0.2413,
2014-07-18,EUR,ECB,0.2411,
2014-07-21,EUR,ECB,0.2409,
2014-07-22,EUR,ECB,0.2411,
2014-07-23,EUR,ECB,0.2419,
2014-07-24,EUR,ECB,0.2415,
2014-07-25,EUR,ECB,0.2413,
2014-07-28,EUR,ECB,0.2413,
2014-07-29,EUR,ECB,0.2409,
2014-07-30,EUR,ECB,0.2409,
2014-07-31,EUR,ECB,0.2399,
2014-08-01,EUR,ECB,0.2387,
2014-08-04,EUR,ECB,0.2397,
2014-08-05,EUR,ECB,0.2395,
2014-08-06,EUR,ECB,0.2378,
2014-08-07,EUR,ECB,0.2379,
2014-08-08,EUR,ECB,0.238,
2014-08-11,EUR,ECB,0.2381,
2014-08-12,EUR,ECB,0.2378,
2014-08-13,EUR,ECB,0.2384,
2014-08-14,EUR,ECB,0.2392,
2014-08-15,EUR,ECB,0.2392,
2014-08-18,EUR,ECB,0.2388,
2014-08-19,EUR,ECB,0.2387,
2014-08-20,EUR,ECB,0.2391,
2014-08-21,EUR,ECB,0.2387,
2014-08-22,EUR,ECB,0.2389,
2014-08-25,EUR,ECB,0.2393,
2014-08-26,EUR,ECB,0.2391,
2014-08-27,EUR,ECB,0.2383,
2014-08-28,EUR,ECB,0.2373,
2014-08-29,EUR,ECB,0.2371,
2014-09-01,EUR,ECB,0.2376,
2014-09-02,EUR,ECB,0.2373,
2014-09-03,EUR,ECB,0.2386,
2014-09-04,EUR,ECB,0.2389,
2014-09-05,EUR,ECB,0.2385,
2014-09-08,EUR,ECB,0.2394,
2014-09-09,EUR,ECB,0.2379,
2014-09-10,EUR,ECB,0.2379,
2014-09-11,EUR,ECB,0.2382,
2014-09-12,EUR,ECB,0.2382,
2014-09-15,EUR,ECB,0.2382,
2014-09-16,EUR,ECB,0.2383,
2014-09-17,EUR,ECB,0.2388,
2014-09-18,EUR,ECB,0.2385,
2014-09-19,EUR,ECB,0.2388,
2014-09-22,EUR,ECB,0.2391,
2014-09-23,EUR,ECB,0.2395,
2014-09-24,EUR,ECB,0.2398,
2014-09-25,EUR,ECB,0.2394,
2014-09-26,EUR,ECB,0.2392,
2014-09-29,EUR,ECB,0.2391,
2014-09-30,EUR,ECB,0.2394,
2014-10-01,EUR,ECB,0.2391,
2014-10-02,EUR,ECB,0.2395,
2014-10-03,EUR,ECB,0.2393,
2014-10-06,EUR,ECB,0.239,
2014-10-07,EUR,ECB,0.239,
2014-10-08,EUR,ECB,0.2386,
2014-10-09,EUR,ECB,0.2395,
2014-10-10,EUR,ECB,0.239,
2014-10-13,EUR,ECB,0.2386,
2014-10-14,EUR,ECB,0.2379,
2014-10-15,EUR,ECB,0.2376,
2014-10-16,EUR,ECB,0.2365,
2014-10-17,EUR,ECB,0.2363,
2014-10-20,EUR,ECB,0.2368,
2014-10-21,EUR,ECB,0.2371,
2014-10-22,EUR,ECB,0.2367,
2014-10-23,EUR,ECB,0.2365,
2014-10-24,EUR,ECB,0.2368,
2014-10-27,EUR,ECB,0.2368,
2014-10-28,EUR,ECB,0.2363,
2014-10-29,EUR,ECB,0.2367,
2014-10-30,EUR,ECB,0.2371,
2014-10-31,EUR,ECB,0.2371,
2014-11-03,EUR,ECB,0.237,
2014-11-04,EUR,ECB,0.2367,
2014-11-05,EUR,ECB,0.2362,
2014-11-06,EUR,ECB,0.2369,
2014-11-07,EUR,ECB,0.2365,
2014-11-10,EUR,ECB,0.2373,
2014-11-11,EUR,ECB,0.2368,
2014-11-12,EUR,ECB,0.237,
2014-11-13,EUR,ECB,0.2365,
2014-11-14,EUR,ECB,0.2364,
2014-11-17,EUR,ECB,0.2368,
2014-11-18,EUR,ECB,0.2373,
2014-11-19,EUR,ECB,0.2371,
2014-11-20,EUR,ECB,0.2373,
2014-11-21,EUR,ECB,0.2378,
2014-11-24,EUR,ECB,0.2384,
2014-11-25,EUR,ECB,0.2388,
2014-11-26,EUR,ECB,0.2392,
2014-11-27,EUR,ECB,0.2392,
2014-11-28,EUR,ECB,0.239,
2014-12-01,EUR,ECB,0.2393,
2014-12-02,EUR,ECB,0.2402,
2014-12-03,EUR,ECB,0.2404,
2014-12-04,EUR,ECB,0.2403,
2014-12-05,EUR,ECB,0.2402,
2014-12-08,EUR,ECB,0.2403,
2014-12-09,EUR,ECB,0.2404,
2014-12-10,EUR,ECB,0.2403,
2014-12-11,EUR,ECB,0.2392,
2014-12-12,EUR,ECB,0.2396,
2014-12-15,EUR,ECB,0.2393,
2014-12-16,EUR,ECB,0.2377,
2014-12-17,EUR,ECB,0.2366,
2014-12-18,EUR,ECB,0.2357,
