date,to_curr,provider,rate,markup
2026-01-01,EUR,VISA,0.0107552299,0
2026-01-01,GBP,VISA,0.0094067124,0
2026-01-01,INR,VISA,1.134629535,0
2026-01-01,USD,VISA,0.0126040665,0
2026-01-02,EUR,VISA,0.0107552299,0
2026-01-02,GBP,VISA,0.0094067124,0
2026-01-02,INR,VISA,1.134629535,0
2026-01-02,USD,VISA,0.0126040665,0
2026-01-03,EUR,VISA,0.0108428219,0
2026-01-03,GBP,VISA,0.0094550763,0
2026-01-03,INR,VISA,1.1462219362,0
2026-01-03,USD,VISA,0.0126991257,0
2026-01-04,EUR,VISA,0.0108428219,0
2026-01-04,GBP,VISA,0.0094550763,0
2026-01-04,INR,VISA,1.1462219362,0
2026-01-04,USD,VISA,0.0126991257,0
2026-01-05,EUR,VISA,0.0108428219,0
2026-01-05,GBP,VISA,0.0094550763,0
2026-01-05,INR,VISA,1.1462219362,0
2026-01-05,USD,VISA,0.0126991257,0
2026-01-06,EUR,VISA,0.0107981539,0
2026-01-06,GBP,VISA,0.0093866884,0
2026-01-06,INR,VISA,1.13697963,0
2026-01-06,USD,VISA,0.0125885004,0
2026-01-07,EUR,VISA,0.0106334245,0
2026-01-07,GBP,VISA,0.0092097486,0
2026-01-07,INR,VISA,1.1214765975,0
2026-01-07,USD,VISA,0.0124230423,0
2026-01-08,EUR,VISA,0.0106443577,0
2026-01-08,GBP,VISA,0.0092343937,0
2026-01-08,INR,VISA,1.1210542144,0
2026-01-08,USD,VISA,0.0124230423,0
