date,to_curr,provider,rate,markup
2026-01-01,EUR,VISA,0.2276109423,0
2026-01-01,GBP,VISA,0.1990725153,0
2026-01-01,INR,VISA,24.0119551772,0
2026-01-01,USD,VISA,0.26673753,0
2026-01-02,EUR,VISA,0.2276109423,0
2026-01-02,GBP,VISA,0.1990725153,0
2026-01-02,INR,VISA,24.0119551772,0
2026-01-02,USD,VISA,0.26673753,0
2026-01-03,EUR,VISA,0.2277287571,0
2026-01-03,GBP,VISA,0.1985823247,0
2026-01-03,INR,VISA,24.0737789687,0
2026-01-03,USD,VISA,0.266716187,0
2026-01-04,EUR,VISA,0.2277287571,0
2026-01-04,GBP,VISA,0.1985823247,0
2026-01-04,INR,VISA,24.0737789687,0
2026-01-04,USD,VISA,0.266716187,0
2026-01-05,EUR,VISA,0.2277287571,0
2026-01-05,GBP,VISA,0.1985823247,0
2026-01-05,INR,VISA,24.0737789687,0
2026-01-05,USD,VISA,0.266716187,0
2026-01-06,EUR,VISA,0.2287774976,0
2026-01-06,GBP,VISA,0.1988731689,0
2026-01-06,INR,VISA,24.0888727185,0
2026-01-06,USD,VISA,0.2667090735,0
2026-01-07,EUR,VISA,0.228306213,0
2026-01-07,GBP,VISA,0.1977390085,0
2026-01-07,INR,VISA,24.0787974337,0
2026-01-07,USD,VISA,0.2667304153,0
2026-01-08,EUR,VISA,0.2285531474,0
2026-01-08,GBP,VISA,0.1982787322,0
2026-01-08,INR,VISA,24.0710127018,0
2026-01-08,USD,VISA,0.2667446451,0
