date,to_curr,provider,rate,markup
2026-01-01,EUR,MASTERCARD,0.092675,
2026-01-01,EUR,VISA,0.0926707067,0.28
2026-01-01,GBP,MASTERCARD,0.0809677,
2026-01-01,GBP,VISA,0.0809278658,0.36
2026-01-01,INR,MASTERCARD,9.7946451,
2026-01-01,INR,VISA,9.8010647981,0.44
2026-01-01,USD,MASTERCARD,0.1088838,
2026-01-01,USD,VISA,0.1088754246,0.27
2026-01-02,EUR,ECB,0.09252,
2026-01-02,EUR,MASTERCARD,0.092687,
2026-01-02,EUR,VISA,0.0926707067,0.28
2026-01-02,GBP,MASTERCARD,0.0809107,
2026-01-02,GBP,VISA,0.0809278658,0.36
2026-01-02,INR,MASTERCARD,9.8265013,
2026-01-02,INR,VISA,9.8010647981,0.44
2026-01-02,USD,MASTERCARD,0.1089218,
2026-01-02,USD,VISA,0.1088754246,0.27
2026-01-03,EUR,MASTERCARD,0.092687,
2026-01-03,EUR,VISA,0.0927368911,0.23
2026-01-03,GBP,MASTERCARD,0.0809107,
2026-01-03,GBP,VISA,0.0809505777,0.35
2026-01-03,INR,MASTERCARD,9.8265013,
2026-01-03,INR,VISA,9.8312604951,0.51
2026-01-03,USD,MASTERCARD,0.1089218,
2026-01-03,USD,VISA,0.1089216743,0.44
2026-01-04,EUR,MASTERCARD,0.092687,
2026-01-04,EUR,VISA,0.0927368911,0.23
2026-01-04,GBP,MASTERCARD,0.0809107,
2026-01-04,GBP,VISA,0.0809505777,0.35
2026-01-04,INR,MASTERCARD,9.8265013,
2026-01-04,INR,VISA,9.8312604951,0.51
2026-01-04,USD,MASTERCARD,0.1089218,
2026-01-04,USD,VISA,0.1089216743,0.44
2026-01-05,EUR,ECB,0.0927,
2026-01-05,EUR,MASTERCARD,0.0929817,
2026-01-05,EUR,VISA,0.0927368911,0.23
2026-01-05,GBP,MASTERCARD,0.080782,
2026-01-05,GBP,VISA,0.0809505777,0.35
2026-01-05,INR,MASTERCARD,9.8430545,
2026-01-05,INR,VISA,9.8312604951,0.51
2026-01-05,USD,MASTERCARD,0.1089384,
2026-01-05,USD,VISA,0.1089216743,0.44
2026-01-06,EUR,ECB,0.09289,
2026-01-06,EUR,MASTERCARD,0.0930995,
2026-01-06,EUR,VISA,0.0930384525,0.36
2026-01-06,GBP,MASTERCARD,0.0806133,
2026-01-06,GBP,VISA,0.080890387,0.57
2026-01-06,INR,MASTERCARD,9.8617381,
2026-01-06,INR,VISA,9.8542162846,0.93
2026-01-06,USD,MASTERCARD,0.109298,
2026-01-06,USD,VISA,0.109104686,0.9
2026-01-07,EUR,ECB,0.09314,
2026-01-07,EUR,MASTERCARD,0.0932436,
2026-01-07,EUR,VISA,0.0930839629,0.2
2026-01-07,GBP,MASTERCARD,0.0809009,
2026-01-07,GBP,VISA,0.080590418,0.14
2026-01-07,INR,MASTERCARD,9.8013454,
2026-01-07,INR,VISA,9.8667460307,0.64
2026-01-07,USD,MASTERCARD,0.109031,
2026-01-07,USD,VISA,0.1092978698,0.5
2026-01-08,EUR,ECB,0.09289,
2026-01-08,EUR,MASTERCARD,0.0933306,
2026-01-08,EUR,VISA,0.0932730376,0.14
2026-01-08,GBP,MASTERCARD,0.0809867,
2026-01-08,GBP,VISA,0.0809603286,0.33
2026-01-08,INR,MASTERCARD,9.8189428,
2026-01-08,INR,VISA,9.8422681234,0.66
2026-01-08,USD,MASTERCARD,0.1090631,
2026-01-08,USD,VISA,0.1090677966,0.22
2026-01-09,EUR,ECB,0.09304,
2026-01-09,EUR,MASTERCARD,0.0933995,
2026-01-09,EUR,VISA,0.0933027001,0.45
2026-01-09,GBP,MASTERCARD,0.0810314,
2026-01-09,GBP,VISA,0.0809685704,0.35
2026-01-09,INR,MASTERCARD,9.8198463,
2026-01-09,INR,VISA,9.8243130712,0.74
2026-01-09,USD,MASTERCARD,0.1087228,
2026-01-09,USD,VISA,0.108988153,0.5
2026-01-10,EUR,MASTERCARD,0.0933995,
2026-01-10,EUR,VISA,0.0934939941,0.49
2026-01-10,GBP,MASTERCARD,0.0810314,
2026-01-10,GBP,VISA,0.0811976161,0.58
2026-01-10,INR,MASTERCARD,9.8198463,
2026-01-10,INR,VISA,9.8289304312,0.58
2026-01-10,USD,MASTERCARD,0.1087228,
2026-01-10,USD,VISA,0.1088102674,0.45
2026-01-11,EUR,MASTERCARD,0.0933995,
2026-01-11,EUR,VISA,0.0934939941,0.49
2026-01-11,GBP,MASTERCARD,0.0810314,
2026-01-11,GBP,VISA,0.0811976161,0.58
2026-01-11,INR,MASTERCARD,9.8198463,
2026-01-11,INR,VISA,9.8289304312,0.58
2026-01-11,USD,MASTERCARD,0.1087228,
2026-01-11,USD,VISA,0.1088102674,0.45
2026-01-12,EUR,ECB,0.09345,
2026-01-12,EUR,MASTERCARD,0.0935436,
2026-01-12,EUR,VISA,0.0934939941,0.49
2026-01-12,GBP,MASTERCARD,0.08118,
2026-01-12,GBP,VISA,0.0811976161,0.58
2026-01-12,INR,MASTERCARD,9.8553814,
2026-01-12,INR,VISA,9.8289304312,0.58
2026-01-12,USD,MASTERCARD,0.1093111,
2026-01-12,USD,VISA,0.1088102674,0.45
2026-01-13,EUR,ECB,0.09334,
2026-01-13,EUR,MASTERCARD,0.0936172,
2026-01-13,EUR,VISA,0.0935193235,0.07
2026-01-13,GBP,MASTERCARD,0.0811662,
2026-01-13,GBP,VISA,0.0811659824,0.13
2026-01-13,INR,MASTERCARD,9.8759576,
2026-01-13,INR,VISA,9.8691348503,0.18
2026-01-13,USD,MASTERCARD,0.1092884,
2026-01-13,USD,VISA,0.109311012,0.04
2026-01-14,EUR,ECB,0.09326,
2026-01-14,EUR,MASTERCARD,0.0934719,
2026-01-14,EUR,VISA,0.0935901983,0.27
2026-01-14,GBP,MASTERCARD,0.0810084,
2026-01-14,GBP,VISA,0.0811424501,0.38
2026-01-14,INR,MASTERCARD,9.8518914,
2026-01-14,INR,VISA,9.8759378876,0.63
2026-01-14,USD,MASTERCARD,0.1089835,
2026-01-14,USD,VISA,0.1092883138,0.47
2026-01-15,EUR,ECB,0.09347,
2026-01-15,EUR,MASTERCARD,0.0936601,
2026-01-15,EUR,VISA,0.0934494165,0.21
2026-01-15,GBP,MASTERCARD,0.0812051,
2026-01-15,GBP,VISA,0.0809846171,0.18
2026-01-15,INR,MASTERCARD,9.8591641,
2026-01-15,INR,VISA,9.8414638006,0.3
2026-01-15,USD,MASTERCARD,0.1090061,
2026-01-15,USD,VISA,0.1089834018,0.3
2026-01-16,EUR,ECB,0.09329,
2026-01-16,EUR,MASTERCARD,0.0935235,
2026-01-16,EUR,VISA,0.0936398524,0.18
2026-01-16,GBP,MASTERCARD,0.0812044,
2026-01-16,GBP,VISA,0.0811847945,0.13
2026-01-16,INR,MASTERCARD,9.8770023,
2026-01-16,INR,VISA,9.8435020815,0.33
2026-01-16,USD,MASTERCARD,0.1090061,
2026-01-16,USD,VISA,0.1090059735,0.33
2026-01-17,EUR,MASTERCARD,0.0935235,
2026-01-17,EUR,VISA,0.0936666647,0.4
2026-01-17,GBP,MASTERCARD,0.0812044,
2026-01-17,GBP,VISA,0.0812430279,0.44
2026-01-17,INR,MASTERCARD,9.8770023,
2026-01-17,INR,VISA,9.8783749225,0.46
2026-01-17,USD,MASTERCARD,0.1086732,
2026-01-17,USD,VISA,0.1086731001,0.27
2026-01-18,EUR,VISA,0.0936666647,0.4
2026-01-18,GBP,VISA,0.0812430279,0.44
2026-01-18,INR,MASTERCARD,9.8770023,
2026-01-18,INR,VISA,9.8783749225,0.46
2026-01-18,USD,VISA,0.1086731001,0.27
2026-01-19,EUR,ECB,0.0932,
2026-01-19,EUR,MASTERCARD,0.0935725,
2026-01-19,EUR,VISA,0.0936666647,0.4
2026-01-19,GBP,MASTERCARD,0.081213,
2026-01-19,GBP,VISA,0.0812430279,0.44
2026-01-19,INR,VISA,9.8783749225,0.46
2026-01-19,USD,VISA,0.1086731001,0.27
2026-01-20,EUR,ECB,0.09339,
2026-01-20,EUR,MASTERCARD,0.0935305,
2026-01-20,EUR,VISA,0.0936636036,0.5
2026-01-20,GBP,VISA,0.0812866965,0.59
2026-01-20,INR,VISA,9.9044394827,0.55
2026-01-20,USD,VISA,0.1088161875,0.39
2026-01-21,EUR,ECB,0.0938,
2026-01-21,EUR,VISA,0.0935199617,0.14
2026-01-21,GBP,VISA,0.0815856559,0.16
2026-01-21,INR,VISA,10.0151431384,0.53
2026-01-21,USD,MASTERCARD,0.1103387,
2026-01-21,USD,VISA,0.1098779255,0.32
2026-01-22,EUR,ECB,0.09439,
2026-01-22,EUR,VISA,0.0940265328,0.24
2026-01-22,GBP,VISA,0.0821019391,0.1
2026-01-22,INR,VISA,10.1246625268,0.34
2026-01-22,USD,VISA,0.1103386296,0.21
2026-01-23,EUR,ECB,0.0946,
2026-01-23,EUR,VISA,0.0945489348,0.17
2026-01-23,GBP,VISA,0.0825453924,0.26
2026-01-23,INR,VISA,10.1891778205,0.68
2026-01-23,USD,VISA,0.1111295216,0.57
2026-01-24,EUR,VISA,0.0946719754,0.07
