date,to_curr,provider,rate,markup
2015-01-02,EUR,ECB,0.625,
2015-01-05,EUR,ECB,0.6281,
2015-01-06,EUR,ECB,0.6287,
2015-01-07,EUR,ECB,0.6312,
2015-01-08,EUR,ECB,0.6348,
2015-01-09,EUR,ECB,0.6334,
2015-01-12,EUR,ECB,0.6339,
2015-01-13,EUR,ECB,0.6355,
2015-01-14,EUR,ECB,0.636,
2015-01-15,EUR,ECB,0.646,
2015-01-16,EUR,ECB,0.6509,
2015-01-19,EUR,ECB,0.6471,
2015-01-20,EUR,ECB,0.6451,
2015-01-21,EUR,ECB,0.647,
2015-01-22,EUR,ECB,0.646,
2015-01-23,EUR,ECB,0.6641,
2015-01-26,EUR,ECB,0.6618,
2015-01-27,EUR,ECB,0.6593,
2015-01-28,EUR,ECB,0.6517,
2015-01-29,EUR,ECB,0.6534,
2015-01-30,EUR,ECB,0.6539,
2015-02-02,EUR,ECB,0.6536,
2015-02-03,EUR,ECB,0.651,
2015-02-04,EUR,ECB,0.6495,
2015-02-05,EUR,ECB,0.6511,
2015-02-06,EUR,ECB,0.6503,
2015-02-09,EUR,ECB,0.6544,
2015-02-10,EUR,ECB,0.6527,
2015-02-11,EUR,ECB,0.6499,
2015-02-12,EUR,ECB,0.6495,
2015-02-13,EUR,ECB,0.6477,
2015-02-16,EUR,ECB,0.646,
2015-02-17,EUR,ECB,0.6467,
2015-02-18,EUR,ECB,0.6462,
2015-02-19,EUR,ECB,0.6466,
2015-02-20,EUR,ECB,0.651,
2015-02-23,EUR,ECB,0.65,
2015-02-24,EUR,ECB,0.6485,
2015-02-25,EUR,ECB,0.6503,
2015-02-26,EUR,ECB,0.6539,
2015-02-27,EUR,ECB,0.6541,
2015-03-02,EUR,ECB,0.6535,
2015-03-03,EUR,ECB,0.6569,
2015-03-04,EUR,ECB,0.6576,
2015-03-05,EUR,ECB,0.6598,
2015-03-06,EUR,ECB,0.6665,
2015-03-09,EUR,ECB,0.6676,
2015-03-10,EUR,ECB,0.6716,
2015-03-11,EUR,ECB,0.6814,
2015-03-12,EUR,ECB,0.6839,
2015-03-13,EUR,ECB,0.6812,
2015-03-16,EUR,ECB,0.6817,
2015-03-17,EUR,ECB,0.6772,
2015-03-18,EUR,ECB,0.6787,
2015-03-19,EUR,ECB,0.6753,
2015-03-20,EUR,ECB,0.6694,
2015-03-23,EUR,ECB,0.6686,
2015-03-24,EUR,ECB,0.6695,
2015-03-25,EUR,ECB,0.6656,
2015-03-26,EUR,ECB,0.6672,
2015-03-27,EUR,ECB,0.6729,
2015-03-30,EUR,ECB,0.6712,
2015-03-31,EUR,ECB,0.6769,
2015-04-01,EUR,ECB,0.6805,
2015-04-02,EUR,ECB,0.6794,
2015-04-07,EUR,ECB,0.6792,
2015-04-08,EUR,ECB,0.68,
2015-04-09,EUR,ECB,0.6856,
2015-04-10,EUR,ECB,0.6926,
2015-04-13,EUR,ECB,0.6901,
2015-04-14,EUR,ECB,0.6944,
2015-04-15,EUR,ECB,0.6943,
2015-04-16,EUR,ECB,0.6896,
2015-04-17,EUR,ECB,0.6886,
2015-04-20,EUR,ECB,0.6914,
2015-04-21,EUR,ECB,0.6924,
2015-04-22,EUR,ECB,0.6918,
2015-04-23,EUR,ECB,0.689,
2015-04-24,EUR,ECB,0.6908,
2015-04-27,EUR,ECB,0.6928,
2015-04-28,EUR,ECB,0.6929,
2015-04-29,EUR,ECB,0.687,
2015-04-30,EUR,ECB,0.675,
2015-05-04,EUR,ECB,0.6729,
2015-05-05,EUR,ECB,0.6729,
2015-05-06,EUR,ECB,0.6712,
2015-05-07,EUR,ECB,0.6645,
2015-05-08,EUR,ECB,0.6701,
2015-05-11,EUR,ECB,0.6724,
2015-05-12,EUR,ECB,0.6661,
2015-05-13,EUR,ECB,0.6704,
2015-05-14,EUR,ECB,0.6643,
2015-05-15,EUR,ECB,0.6656,
2015-05-18,EUR,ECB,0.6642,
2015-05-19,EUR,ECB,0.6718,
2015-05-20,EUR,ECB,0.6734,
2015-05-21,EUR,ECB,0.6723,
2015-05-22,EUR,ECB,0.6735,
2015-05-25,EUR,ECB,0.679,
2015-05-26,EUR,ECB,0.6799,
2015-05-27,EUR,ECB,0.6807,
2015-05-28,EUR,ECB,0.6792,
2015-05-29,EUR,ECB,0.6757,
2015-06-01,EUR,ECB,0.6759,
2015-06-02,EUR,ECB,0.6691,
2015-06-03,EUR,ECB,0.6659,
2015-06-04,EUR,ECB,0.657,
2015-06-05,EUR,ECB,0.6613,
2015-06-08,EUR,ECB,0.6594,
2015-06-09,EUR,ECB,0.6581,
2015-06-10,EUR,ECB,0.6593,
2015-06-11,EUR,ECB,0.6607,
2015-06-12,EUR,ECB,0.6611,
2015-06-15,EUR,ECB,0.6619,
2015-06-16,EUR,ECB,0.6623,
2015-06-17,EUR,ECB,0.6584,
