date,to_curr,provider,rate,markup
2010-01-04,EUR,ECB,0.02093,
2010-01-05,EUR,ECB,0.02089,
2010-01-06,EUR,ECB,0.02102,
2010-01-07,EUR,ECB,0.02108,
2010-01-08,EUR,ECB,0.02113,
2010-01-11,EUR,ECB,0.02083,
2010-01-12,EUR,ECB,0.0209,
2010-01-13,EUR,ECB,0.02079,
2010-01-14,EUR,ECB,0.02099,
2010-01-15,EUR,ECB,0.02117,
2010-01-18,EUR,ECB,0.02119,
2010-01-19,EUR,ECB,0.02129,
2010-01-20,EUR,ECB,0.02147,
2010-01-21,EUR,ECB,0.02154,
2010-01-22,EUR,ECB,0.02142,
2010-01-25,EUR,ECB,0.02144,
2010-01-26,EUR,ECB,0.02148,
2010-01-27,EUR,ECB,0.02151,
2010-01-28,EUR,ECB,0.02159,
2010-01-29,EUR,ECB,0.02158,
2010-02-01,EUR,ECB,0.02166,
2010-02-02,EUR,ECB,0.02165,
2010-02-03,EUR,ECB,0.02165,
2010-02-04,EUR,ECB,0.02183,
2010-02-05,EUR,ECB,0.02199,
2010-02-08,EUR,ECB,0.02203,
2010-02-09,EUR,ECB,0.02191,
2010-02-10,EUR,ECB,0.02194,
2010-02-11,EUR,ECB,0.02198,
2010-02-12,EUR,ECB,0.02219,
2010-02-15,EUR,ECB,0.02215,
2010-02-16,EUR,ECB,0.02207,
2010-02-17,EUR,ECB,0.02198,
2010-02-18,EUR,ECB,0.02222,
2010-02-19,EUR,ECB,0.0223,
2010-02-22,EUR,ECB,0.02214,
2010-02-23,EUR,ECB,0.02227,
2010-02-24,EUR,ECB,0.02234,
2010-02-25,EUR,ECB,0.02239,
2010-02-26,EUR,ECB,0.02229,
2010-03-01,EUR,ECB,0.02249,
2010-03-02,EUR,ECB,0.02255,
2010-03-03,EUR,ECB,0.02243,
2010-03-04,EUR,ECB,0.02242,
2010-03-05,EUR,ECB,0.02257,
2010-03-08,EUR,ECB,0.0224,
2010-03-09,EUR,ECB,0.02253,
2010-03-10,EUR,ECB,0.02247,
2010-03-11,EUR,ECB,0.0224,
2010-03-12,EUR,ECB,0.02232,
2010-03-15,EUR,ECB,0.02239,
2010-03-16,EUR,ECB,0.02247,
2010-03-17,EUR,ECB,0.02249,
2010-03-18,EUR,ECB,0.02267,
2010-03-19,EUR,ECB,0.02287,
2010-03-22,EUR,ECB,0.02294,
2010-03-23,EUR,ECB,0.02288,
2010-03-24,EUR,ECB,0.02317,
2010-03-25,EUR,ECB,0.02312,
2010-03-26,EUR,ECB,0.0231,
2010-03-29,EUR,ECB,0.02294,
2010-03-30,EUR,ECB,0.02294,
2010-03-31,EUR,ECB,0.02294,
2010-04-01,EUR,ECB,0.02293,
2010-04-06,EUR,ECB,0.02306,
2010-04-07,EUR,ECB,0.02314,
2010-04-08,EUR,ECB,0.0233,
2010-04-09,EUR,ECB,0.02317,
2010-04-12,EUR,ECB,0.02274,
2010-04-13,EUR,ECB,0.02275,
2010-04-14,EUR,ECB,0.02277,
2010-04-15,EUR,ECB,0.02289,
2010-04-16,EUR,ECB,0.02291,
2010-04-19,EUR,ECB,0.02305,
2010-04-20,EUR,ECB,0.02306,
2010-04-21,EUR,ECB,0.02322,
2010-04-22,EUR,ECB,0.02328,
2010-04-23,EUR,ECB,0.02332,
2010-04-26,EUR,ECB,0.02329,
2010-04-27,EUR,ECB,0.02334,
2010-04-28,EUR,ECB,0.02334,
2010-04-29,EUR,ECB,0.02337,
2010-04-30,EUR,ECB,0.02321,
2010-05-03,EUR,ECB,0.02332,
2010-05-04,EUR,ECB,0.02368,
2010-05-05,EUR,ECB,0.02393,
2010-05-06,EUR,ECB,0.02428,
2010-05-07,EUR,ECB,0.02427,
2010-05-10,EUR,ECB,0.02388,
2010-05-11,EUR,ECB,0.02435,
2010-05-12,EUR,ECB,0.0244,
2010-05-13,EUR,ECB,0.02458,
2010-05-14,EUR,ECB,0.02472,
2010-05-17,EUR,ECB,0.02497,
2010-05-18,EUR,ECB,0.02488,
2010-05-19,EUR,ECB,0.02519,
2010-05-20,EUR,ECB,0.02504,
2010-05-21,EUR,ECB,0.02467,
2010-05-24,EUR,ECB,0.02493,
2010-05-25,EUR,ECB,0.02516,
2010-05-26,EUR,ECB,0.02497,
2010-05-27,EUR,ECB,0.02506,
2010-05-28,EUR,ECB,0.0248,
2010-05-31,EUR,ECB,0.02496,
2010-06-01,EUR,ECB,0.02525,
2010-06-02,EUR,ECB,0.02511,
2010-06-03,EUR,ECB,0.02502,
2010-06-04,EUR,ECB,0.02543,
2010-06-07,EUR,ECB,0.02561,
2010-06-08,EUR,ECB,0.02567,
2010-06-09,EUR,ECB,0.02556,
2010-06-10,EUR,ECB,0.02553,
2010-06-11,EUR,ECB,0.0254,
2010-06-14,EUR,ECB,0.02519,
2010-06-15,EUR,ECB,0.02518,
2010-06-16,EUR,ECB,0.02513,
2010-06-17,EUR,ECB,0.02496,
2010-06-18,EUR,ECB,0.02494,
2010-06-21,EUR,ECB,0.02499,
2010-06-22,EUR,ECB,0.02523,
2010-06-23,EUR,ECB,0.02517,
2010-06-24,EUR,ECB,0.02515,
2010-06-25,EUR,ECB,0.0251,
2010-06-28,EUR,ECB,0.02504,
2010-06-29,EUR,ECB,0.02528,
2010-06-30,EUR,ECB,0.02515,
2010-07-01,EUR,ECB,0.02502,
2010-07-02,EUR,ECB,0.02459,
2010-07-05,EUR,ECB,0.02461,
2010-07-06,EUR,ECB,0.02452,
2010-07-07,EUR,ECB,0.0245,
2010-07-08,EUR,ECB,0.02436,
2010-07-09,EUR,ECB,0.02447,
2010-07-12,EUR,ECB,0.02457,
2010-07-13,EUR,ECB,0.02458,
2010-07-14,EUR,ECB,0.02436,
2010-07-15,EUR,ECB,0.02417,
2010-07-16,EUR,ECB,0.02387,
2010-07-19,EUR,ECB,0.02391,
2010-07-20,EUR,ECB,0.0241,
2010-07-21,EUR,ECB,0.02416,
2010-07-22,EUR,ECB,0.0241,
2010-07-23,EUR,ECB,0.02405,
2010-07-26,EUR,ECB,0.02401,
2010-07-27,EUR,ECB,0.02383,
2010-07-28,EUR,ECB,0.02386,
2010-07-29,EUR,ECB,0.02373,
2010-07-30,EUR,ECB,0.02378,
2010-08-02,EUR,ECB,0.02374,
2010-08-03,EUR,ECB,0.02351,
2010-08-04,EUR,ECB,0.02355,
2010-08-05,EUR,ECB,0.02363,
2010-08-06,EUR,ECB,0.02366,
2010-08-09,EUR,ECB,0.0236,
2010-08-10,EUR,ECB,0.02382,
2010-08-11,EUR,ECB,0.02407,
2010-08-12,EUR,ECB,0.02447,
2010-08-13,EUR,ECB,0.0245,
2010-08-16,EUR,ECB,0.02452,
2010-08-17,EUR,ECB,0.02451,
2010-08-18,EUR,ECB,0.02456,
2010-08-19,EUR,ECB,0.02469,
2010-08-20,EUR,ECB,0.02496,
2010-08-23,EUR,ECB,0.02501,
2010-08-24,EUR,ECB,0.02515,
2010-08-25,EUR,ECB,0.02518,
2010-08-26,EUR,ECB,0.02513,
2010-08-27,EUR,ECB,0.0251,
2010-08-30,EUR,ECB,0.02518,
2010-08-31,EUR,ECB,0.02521,
2010-09-01,EUR,ECB,0.02506,
2010-09-02,EUR,ECB,0.02503,
2010-09-03,EUR,ECB,0.02499,
2010-09-06,EUR,ECB,0.02494,
2010-09-07,EUR,ECB,0.02516,
2010-09-08,EUR,ECB,0.02538,
2010-09-09,EUR,ECB,0.02548,
2010-09-10,EUR,ECB,0.02553,
2010-09-13,EUR,ECB,0.02541,
2010-09-14,EUR,ECB,0.02526,
2010-09-15,EUR,ECB,0.02496,
2010-09-16,EUR,ECB,0.02483,
2010-09-17,EUR,ECB,0.0249,
2010-09-20,EUR,ECB,0.02487,
2010-09-21,EUR,ECB,0.02479,
2010-09-22,EUR,ECB,0.02442,
2010-09-23,EUR,ECB,0.02444,
2010-09-24,EUR,ECB,0.0243,
2010-09-27,EUR,ECB,0.02428,
2010-09-28,EUR,ECB,0.02429,
2010-09-29,EUR,ECB,0.02412,
2010-09-30,EUR,ECB,0.02413,
2010-10-01,EUR,ECB,0.02412,
2010-10-04,EUR,ECB,0.02419,
2010-10-05,EUR,ECB,0.02408,
2010-10-06,EUR,ECB,0.0241,
2010-10-07,EUR,ECB,0.02397,
2010-10-08,EUR,ECB,0.02398,
2010-10-11,EUR,ECB,0.02389,
2010-10-12,EUR,ECB,0.02413,
2010-10-13,EUR,ECB,0.02393,
2010-10-14,EUR,ECB,0.0238,
2010-10-15,EUR,ECB,0.0238,
2010-10-18,EUR,ECB,0.02407,
2010-10-19,EUR,ECB,0.02412,
2010-10-20,EUR,ECB,0.0241,
2010-10-21,EUR,ECB,0.02389,
2010-10-22,EUR,ECB,0.02397,
2010-10-25,EUR,ECB,0.02388,
2010-10-26,EUR,ECB,0.02403,
2010-10-27,EUR,ECB,0.02415,
2010-10-28,EUR,ECB,0.02409,
2010-10-29,EUR,ECB,0.02409,
2010-11-01,EUR,ECB,0.02404,
2010-11-02,EUR,ECB,0.02394,
2010-11-03,EUR,ECB,0.02398,
2010-11-04,EUR,ECB,0.02364,
2010-11-05,EUR,ECB,0.02396,
2010-11-08,EUR,ECB,0.02423,
2010-11-09,EUR,ECB,0.0243,
2010-11-10,EUR,ECB,0.02454,
2010-11-11,EUR,ECB,0.02456,
2010-11-12,EUR,ECB,0.02447,
2010-11-15,EUR,ECB,0.02451,
2010-11-16,EUR,ECB,0.0246,
2010-11-17,EUR,ECB,0.0247,
2010-11-18,EUR,ECB,0.02447,
2010-11-19,EUR,ECB,0.02443,
2010-11-22,EUR,ECB,0.02446,
2010-11-23,EUR,ECB,0.02465,
2010-11-24,EUR,ECB,0.02495,
2010-11-25,EUR,ECB,0.02498,
2010-11-26,EUR,ECB,0.02496,
2010-11-29,EUR,ECB,0.02519,
2010-11-30,EUR,ECB,0.02548,
2010-12-01,EUR,ECB,0.02535,
2010-12-02,EUR,ECB,0.0253,
2010-12-03,EUR,ECB,0.02512,
2010-12-06,EUR,ECB,0.02509,
2010-12-07,EUR,ECB,0.02494,
2010-12-08,EUR,ECB,0.02513,
2010-12-09,EUR,ECB,0.02517,
2010-12-10,EUR,ECB,0.02511,
2010-12-13,EUR,ECB,0.02507,
2010-12-14,EUR,ECB,0.02481,
2010-12-15,EUR,ECB,0.02488,
2010-12-16,EUR,ECB,0.02509,
2010-12-17,EUR,ECB,0.02501,
2010-12-20,EUR,ECB,0.0252,
2010-12-21,EUR,ECB,0.0252,
2010-12-22,EUR,ECB,0.02528,
