date,to_curr,provider,rate,markup
2011-01-03,EUR,ECB,0.7492,
2011-01-04,EUR,ECB,0.7451,
2011-01-05,EUR,ECB,0.7568,
2011-01-06,EUR,ECB,0.7639,
2011-01-07,EUR,ECB,0.7715,
2011-01-10,EUR,ECB,0.775,
2011-01-11,EUR,ECB,0.7723,
2011-01-12,EUR,ECB,0.7708,
2011-01-13,EUR,ECB,0.7576,
2011-01-14,EUR,ECB,0.7491,
2011-01-17,EUR,ECB,0.7513,
2011-01-18,EUR,ECB,0.7479,
2011-01-19,EUR,ECB,0.7404,
2011-01-20,EUR,ECB,0.7423,
2011-01-21,EUR,ECB,0.7396,
2011-01-24,EUR,ECB,0.7369,
2011-01-25,EUR,ECB,0.7355,
2011-01-26,EUR,ECB,0.7309,
2011-01-27,EUR,ECB,0.7291,
2011-01-28,EUR,ECB,0.7294,
2011-01-31,EUR,ECB,0.7304,
2011-02-01,EUR,ECB,0.727,
2011-02-02,EUR,ECB,0.7245,
2011-02-03,EUR,ECB,0.7275,
2011-02-04,EUR,ECB,0.7336,
2011-02-07,EUR,ECB,0.7378,
2011-02-08,EUR,ECB,0.7334,
2011-02-09,EUR,ECB,0.7328,
2011-02-10,EUR,ECB,0.7351,
2011-02-11,EUR,ECB,0.7394,
2011-02-14,EUR,ECB,0.744,
2011-02-15,EUR,ECB,0.7402,
2011-02-16,EUR,ECB,0.7402,
2011-02-17,EUR,ECB,0.7375,
2011-02-18,EUR,ECB,0.7338,
2011-02-21,EUR,ECB,0.7316,
2011-02-22,EUR,ECB,0.7317,
2011-02-23,EUR,ECB,0.7283,
2011-02-24,EUR,ECB,0.7261,
2011-02-25,EUR,ECB,0.7266,
2011-02-28,EUR,ECB,0.7229,
2011-03-01,EUR,ECB,0.7233,
2011-03-02,EUR,ECB,0.7242,
2011-03-03,EUR,ECB,0.722,
2011-03-04,EUR,ECB,0.7165,
2011-03-07,EUR,ECB,0.7129,
2011-03-08,EUR,ECB,0.7195,
2011-03-09,EUR,ECB,0.718,
2011-03-10,EUR,ECB,0.7237,
2011-03-11,EUR,ECB,0.7261,
2011-03-14,EUR,ECB,0.7169,
2011-03-15,EUR,ECB,0.7203,
2011-03-16,EUR,ECB,0.7168,
2011-03-17,EUR,ECB,0.7141,
2011-03-18,EUR,ECB,0.7077,
2011-03-21,EUR,ECB,0.7045,
2011-03-22,EUR,ECB,0.7037,
2011-03-23,EUR,ECB,0.7074,
2011-03-24,EUR,ECB,0.7078,
2011-03-25,EUR,ECB,0.7085,
2011-03-28,EUR,ECB,0.7127,
2011-03-29,EUR,ECB,0.7109,
